First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 1.58ms)
Time Training: 1.74ms, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 30415, R wins: 17402, Draws: 2211, [60.80:34.78:4.42] (100K-epoch: 2, 17.40s)
Time Training: 17.41s, Trained: 47k, (X:23887,O:23930), Self Play: 49972 (Draws: 0.00%)
N wins: 30564, R wins: 17606, Draws: 1952, [60.98:35.13:3.89] (100K-epoch: 3, 16.72s)
Time Training: 34.12s, Trained: 48k, (X:23982,O:24188), Self Play: 49878 (Draws: 0.00%)
N wins: 30747, R wins: 17443, Draws: 1930, [61.35:34.80:3.85] (100K-epoch: 4, 16.71s)
Time Training: 50.83s, Trained: 48k, (X:24164,O:24026), Self Play: 49880 (Draws: 0.00%)
N wins: 30454, R wins: 17306, Draws: 1969, [61.24:34.80:3.96] (100K-epoch: 5, 16.85s)
Time Training: 67.69s, Trained: 47k, (X:23982,O:23778), Self Play: 50271 (Draws: 0.00%)
N wins: 30296, R wins: 17432, Draws: 1962, [60.97:35.08:3.95] (100K-epoch: 6, 16.86s)
Time Training: 84.54s, Trained: 47k, (X:23715,O:24013), Self Play: 50310 (Draws: 0.00%)
N wins: 30365, R wins: 17543, Draws: 2046, [60.79:35.12:4.10] (100K-epoch: 7, 16.88s)
Time Training: 101.42s, Trained: 47k, (X:23731,O:24177), Self Play: 50046 (Draws: 0.00%)
N wins: 30804, R wins: 17491, Draws: 1960, [61.30:34.80:3.90] (100K-epoch: 8, 16.84s)
Time Training: 118.26s, Trained: 48k, (X:23981,O:24314), Self Play: 49745 (Draws: 0.00%)
N wins: 30805, R wins: 17500, Draws: 2034, [61.20:34.76:4.04] (100K-epoch: 9, 16.76s)
Time Training: 135.02s, Trained: 48k, (X:24117,O:24188), Self Play: 49661 (Draws: 0.00%)
N wins: 30516, R wins: 17482, Draws: 2051, [60.97:34.93:4.10] (100K-epoch: 10, 16.78s)
Time Training: 151.80s, Trained: 47k, (X:24125,O:23873), Self Play: 49951 (Draws: 0.00%)
N wins: 30548, R wins: 17634, Draws: 1967, [60.91:35.16:3.92] (100K-epoch: 11, 16.88s)
Time Training: 168.68s, Trained: 48k, (X:23952,O:24230), Self Play: 49851 (Draws: 0.00%)
N wins: 30604, R wins: 17484, Draws: 1985, [61.12:34.92:3.96] (100K-epoch: 12, 16.93s)
Time Training: 185.61s, Trained: 48k, (X:24200,O:23888), Self Play: 49927 (Draws: 0.00%)
N wins: 30502, R wins: 17370, Draws: 1984, [61.18:34.84:3.98] (100K-epoch: 13, 16.78s)
Time Training: 202.39s, Trained: 47k, (X:23877,O:23995), Self Play: 50144 (Draws: 0.00%)
N wins: 30552, R wins: 17564, Draws: 2071, [60.88:35.00:4.13] (100K-epoch: 14, 16.81s)
Time Training: 219.21s, Trained: 48k, (X:23947,O:24169), Self Play: 49813 (Draws: 0.00%)
N wins: 30224, R wins: 17517, Draws: 2055, [60.70:35.18:4.13] (100K-epoch: 15, 16.76s)
Time Training: 235.97s, Trained: 47k, (X:23802,O:23939), Self Play: 50204 (Draws: 0.00%)
N wins: 30444, R wins: 17319, Draws: 2107, [61.05:34.73:4.22] (100K-epoch: 16, 16.77s)
Time Training: 252.74s, Trained: 47k, (X:23933,O:23830), Self Play: 50130 (Draws: 0.00%)
N wins: 30516, R wins: 17491, Draws: 1906, [61.14:35.04:3.82] (100K-epoch: 17, 16.81s)
Time Training: 269.55s, Trained: 48k, (X:24042,O:23965), Self Play: 50087 (Draws: 0.00%)
N wins: 30496, R wins: 17582, Draws: 1991, [60.91:35.12:3.98] (100K-epoch: 18, 16.88s)
Time Training: 286.43s, Trained: 48k, (X:23841,O:24237), Self Play: 49931 (Draws: 0.00%)
N wins: 30408, R wins: 17466, Draws: 2066, [60.89:34.97:4.14] (100K-epoch: 19, 16.78s)
Time Training: 303.21s, Trained: 47k, (X:23984,O:23890), Self Play: 50060 (Draws: 0.00%)
N wins: 30645, R wins: 17390, Draws: 2012, [61.23:34.75:4.02] (100K-epoch: 20, 16.77s)
Time Training: 319.98s, Trained: 48k, (X:24039,O:23996), Self Play: 49953 (Draws: 0.00%)
N wins: 30692, R wins: 17652, Draws: 1957, [61.02:35.09:3.89] (100K-epoch: 21, 16.84s)
Time Training: 336.82s, Trained: 48k, (X:23897,O:24447), Self Play: 49699 (Draws: 0.00%)
N wins: 30276, R wins: 17574, Draws: 1954, [60.79:35.29:3.92] (100K-epoch: 22, 16.90s)
Time Training: 353.72s, Trained: 47k, (X:23916,O:23934), Self Play: 50196 (Draws: 0.00%)
N wins: 30874, R wins: 17186, Draws: 1970, [61.71:34.35:3.94] (100K-epoch: 23, 16.82s)
Time Training: 370.55s, Trained: 48k, (X:24107,O:23953), Self Play: 49970 (Draws: 0.00%)
N wins: 30780, R wins: 17402, Draws: 1929, [61.42:34.73:3.85] (100K-epoch: 24, 16.84s)
Time Training: 387.39s, Trained: 48k, (X:23955,O:24227), Self Play: 49889 (Draws: 0.00%)
N wins: 30554, R wins: 17628, Draws: 1950, [60.95:35.16:3.89] (100K-epoch: 25, 16.81s)
Time Training: 404.20s, Trained: 48k, (X:23948,O:24234), Self Play: 49868 (Draws: 0.00%)
N wins: 30598, R wins: 17496, Draws: 1934, [61.16:34.97:3.87] (100K-epoch: 26, 16.79s)
Time Training: 420.99s, Trained: 48k, (X:24087,O:24007), Self Play: 49972 (Draws: 0.00%)
N wins: 30608, R wins: 17532, Draws: 2005, [61.04:34.96:4.00] (100K-epoch: 27, 16.77s)
Time Training: 437.76s, Trained: 48k, (X:23950,O:24190), Self Play: 49855 (Draws: 0.00%)
N wins: 30675, R wins: 17528, Draws: 1904, [61.22:34.98:3.80] (100K-epoch: 28, 16.82s)
Time Training: 454.58s, Trained: 48k, (X:24118,O:24085), Self Play: 49893 (Draws: 0.00%)
N wins: 30467, R wins: 17331, Draws: 2029, [61.15:34.78:4.07] (100K-epoch: 29, 16.82s)
