First 1 second:
N wins: 0, R wins: 0, Draws: 1, [0.00:0.00:100.00] (100K-epoch: 1, 912.50µs)
Time Training: 1.12ms, Trained: 0k, (X:0,O:0), Self Play: 0 (Draws: NaN%)
N wins: 32202, R wins: 14257, Draws: 3337, [64.67:28.63:6.70] (100K-epoch: 2, 15.13s)
Time Training: 15.13s, Trained: 46k, (X:23383,O:23076), Self Play: 50204 (Draws: 18.01%)
N wins: 31652, R wins: 15258, Draws: 2929, [63.51:30.61:5.88] (100K-epoch: 3, 13.04s)
Time Training: 28.17s, Trained: 46k, (X:23479,O:23431), Self Play: 50161 (Draws: 56.02%)
N wins: 31229, R wins: 13602, Draws: 5240, [62.37:27.17:10.47] (100K-epoch: 4, 13.39s)
Time Training: 41.56s, Trained: 44k, (X:22361,O:22470), Self Play: 49929 (Draws: 50.00%)
N wins: 33015, R wins: 13501, Draws: 3456, [66.07:27.02:6.92] (100K-epoch: 5, 15.11s)
Time Training: 56.66s, Trained: 46k, (X:23363,O:23153), Self Play: 50028 (Draws: 29.97%)
N wins: 33140, R wins: 14148, Draws: 2553, [66.49:28.39:5.12] (100K-epoch: 6, 14.42s)
Time Training: 71.09s, Trained: 47k, (X:23544,O:23744), Self Play: 50159 (Draws: 36.77%)
N wins: 32617, R wins: 15148, Draws: 2419, [64.99:30.18:4.82] (100K-epoch: 7, 13.52s)
Time Training: 84.61s, Trained: 47k, (X:23793,O:23972), Self Play: 49816 (Draws: 66.17%)
N wins: 33117, R wins: 14626, Draws: 2491, [65.93:29.12:4.96] (100K-epoch: 8, 15.35s)
Time Training: 99.95s, Trained: 47k, (X:23670,O:24073), Self Play: 49766 (Draws: 48.17%)
N wins: 33255, R wins: 14220, Draws: 2547, [66.48:28.43:5.09] (100K-epoch: 9, 16.05s)
Time Training: 116.00s, Trained: 47k, (X:23643,O:23832), Self Play: 49978 (Draws: 46.17%)
N wins: 29814, R wins: 14605, Draws: 5538, [59.68:29.24:11.09] (100K-epoch: 10, 14.32s)
Time Training: 130.33s, Trained: 44k, (X:22082,O:22337), Self Play: 50043 (Draws: 71.86%)
N wins: 32429, R wins: 14119, Draws: 3310, [65.04:28.32:6.64] (100K-epoch: 11, 15.59s)
Time Training: 145.91s, Trained: 46k, (X:22975,O:23573), Self Play: 50142 (Draws: 36.15%)
N wins: 34080, R wins: 13022, Draws: 2735, [68.38:26.13:5.49] (100K-epoch: 12, 14.08s)
Time Training: 159.99s, Trained: 47k, (X:23577,O:23525), Self Play: 50163 (Draws: 30.18%)
N wins: 33515, R wins: 13718, Draws: 2934, [66.81:27.34:5.85] (100K-epoch: 13, 13.95s)
Time Training: 173.93s, Trained: 47k, (X:23697,O:23536), Self Play: 49833 (Draws: 34.08%)
