First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 1.00ms)
Time Training: 1.17ms, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 34204, R wins: 11148, Draws: 4585, [68.49:22.32:9.18] (100K-epoch: 2, 7.25s)
Time Training: 7.25s, Trained: 45k, (X:22767,O:22585), Self Play: 50063 (Draws: 85.47%)
N wins: 35576, R wins: 10586, Draws: 3963, [70.97:21.12:7.91] (100K-epoch: 3, 6.66s)
Time Training: 13.91s, Trained: 46k, (X:22902,O:23260), Self Play: 49875 (Draws: 93.06%)
N wins: 33825, R wins: 11958, Draws: 4366, [67.45:23.84:8.71] (100K-epoch: 4, 6.90s)
Time Training: 20.81s, Trained: 45k, (X:23182,O:22601), Self Play: 49851 (Draws: 90.24%)
N wins: 35235, R wins: 11047, Draws: 3862, [70.27:22.03:7.70] (100K-epoch: 5, 7.19s)
Time Training: 28.01s, Trained: 46k, (X:23032,O:23250), Self Play: 49856 (Draws: 92.91%)
N wins: 35688, R wins: 10594, Draws: 3946, [71.05:21.09:7.86] (100K-epoch: 6, 8.18s)
Time Training: 36.19s, Trained: 46k, (X:23156,O:23126), Self Play: 49772 (Draws: 92.39%)
N wins: 35507, R wins: 10690, Draws: 3963, [70.79:21.31:7.90] (100K-epoch: 7, 7.49s)
Time Training: 43.68s, Trained: 46k, (X:22846,O:23351), Self Play: 49840 (Draws: 92.88%)
N wins: 35288, R wins: 10569, Draws: 4063, [70.69:21.17:8.14] (100K-epoch: 8, 7.06s)
Time Training: 50.74s, Trained: 45k, (X:23040,O:22817), Self Play: 50080 (Draws: 93.03%)
N wins: 35536, R wins: 10541, Draws: 3903, [71.10:21.09:7.81] (100K-epoch: 9, 7.09s)
Time Training: 57.83s, Trained: 46k, (X:23159,O:22918), Self Play: 50020 (Draws: 92.92%)
N wins: 35713, R wins: 10513, Draws: 3946, [71.18:20.95:7.86] (100K-epoch: 10, 6.71s)
Time Training: 64.55s, Trained: 46k, (X:23034,O:23192), Self Play: 49828 (Draws: 92.58%)
N wins: 35490, R wins: 10830, Draws: 3948, [70.60:21.54:7.85] (100K-epoch: 11, 6.70s)
Time Training: 71.25s, Trained: 46k, (X:23205,O:23115), Self Play: 49732 (Draws: 92.45%)
N wins: 35451, R wins: 10476, Draws: 4059, [70.92:20.96:8.12] (100K-epoch: 12, 6.64s)
Time Training: 77.89s, Trained: 45k, (X:23120,O:22807), Self Play: 50014 (Draws: 93.08%)
N wins: 35576, R wins: 10519, Draws: 4044, [70.95:20.98:8.07] (100K-epoch: 13, 7.24s)
Time Training: 85.13s, Trained: 46k, (X:22981,O:23114), Self Play: 49861 (Draws: 92.71%)
N wins: 35470, R wins: 10591, Draws: 3781, [71.16:21.25:7.59] (100K-epoch: 14, 6.69s)
Time Training: 91.82s, Trained: 46k, (X:22940,O:23121), Self Play: 50158 (Draws: 92.94%)
N wins: 35871, R wins: 10596, Draws: 3936, [71.17:21.02:7.81] (100K-epoch: 15, 7.30s)
Time Training: 99.12s, Trained: 46k, (X:23345,O:23122), Self Play: 49597 (Draws: 92.80%)
N wins: 35182, R wins: 10760, Draws: 3951, [70.51:21.57:7.92] (100K-epoch: 16, 6.91s)
Time Training: 106.04s, Trained: 45k, (X:22940,O:23002), Self Play: 50107 (Draws: 92.67%)
N wins: 35413, R wins: 10453, Draws: 3963, [71.07:20.98:7.95] (100K-epoch: 17, 6.86s)
Time Training: 112.90s, Trained: 45k, (X:22942,O:22924), Self Play: 50171 (Draws: 92.96%)
N wins: 35305, R wins: 10490, Draws: 3997, [70.90:21.07:8.03] (100K-epoch: 18, 6.69s)
Time Training: 119.59s, Trained: 45k, (X:22885,O:22910), Self Play: 50208 (Draws: 92.90%)
N wins: 35215, R wins: 10677, Draws: 4015, [70.56:21.39:8.04] (100K-epoch: 19, 6.90s)
Time Training: 126.50s, Trained: 45k, (X:23178,O:22714), Self Play: 50093 (Draws: 92.64%)
N wins: 35426, R wins: 10518, Draws: 4073, [70.83:21.03:8.14] (100K-epoch: 20, 7.68s)
Time Training: 134.18s, Trained: 45k, (X:23186,O:22758), Self Play: 49983 (Draws: 92.93%)
N wins: 35519, R wins: 10391, Draws: 3974, [71.20:20.83:7.97] (100K-epoch: 21, 6.70s)
Time Training: 140.88s, Trained: 45k, (X:23057,O:22853), Self Play: 50116 (Draws: 92.70%)
N wins: 35527, R wins: 10598, Draws: 3934, [70.97:21.17:7.86] (100K-epoch: 22, 6.70s)
Time Training: 147.58s, Trained: 46k, (X:22986,O:23139), Self Play: 49941 (Draws: 92.45%)
N wins: 35397, R wins: 10858, Draws: 3974, [70.47:21.62:7.91] (100K-epoch: 23, 6.74s)
Time Training: 154.32s, Trained: 46k, (X:23462,O:22793), Self Play: 49771 (Draws: 92.70%)
N wins: 35636, R wins: 10552, Draws: 4073, [70.90:20.99:8.10] (100K-epoch: 24, 7.16s)
Time Training: 161.48s, Trained: 46k, (X:23290,O:22898), Self Play: 49739 (Draws: 92.64%)
N wins: 35285, R wins: 10771, Draws: 3746, [70.85:21.63:7.52] (100K-epoch: 25, 6.79s)
Time Training: 168.26s, Trained: 46k, (X:23114,O:22942), Self Play: 50198 (Draws: 92.64%)
N wins: 35304, R wins: 10510, Draws: 3845, [71.09:21.16:7.74] (100K-epoch: 26, 6.96s)
Time Training: 175.23s, Trained: 45k, (X:23014,O:22800), Self Play: 50341 (Draws: 92.19%)
N wins: 35218, R wins: 10525, Draws: 4174, [70.55:21.09:8.36] (100K-epoch: 27, 7.46s)
Time Training: 182.69s, Trained: 45k, (X:22968,O:22775), Self Play: 50083 (Draws: 92.33%)
N wins: 35503, R wins: 10728, Draws: 4038, [70.63:21.34:8.03] (100K-epoch: 28, 7.53s)
Time Training: 190.22s, Trained: 46k, (X:23303,O:22928), Self Play: 49731 (Draws: 92.27%)
N wins: 35577, R wins: 10479, Draws: 3947, [71.15:20.96:7.89] (100K-epoch: 29, 7.76s)
Time Training: 197.98s, Trained: 46k, (X:23129,O:22927), Self Play: 49997 (Draws: 92.39%)
N wins: 35395, R wins: 10382, Draws: 3921, [71.22:20.89:7.89] (100K-epoch: 30, 6.81s)
Time Training: 204.79s, Trained: 45k, (X:22732,O:23045), Self Play: 50302 (Draws: 92.57%)
N wins: 35633, R wins: 10515, Draws: 4024, [71.02:20.96:8.02] (100K-epoch: 31, 6.92s)
Time Training: 211.71s, Trained: 46k, (X:23077,O:23071), Self Play: 49828 (Draws: 92.42%)
N wins: 35566, R wins: 10473, Draws: 3997, [71.08:20.93:7.99] (100K-epoch: 32, 7.15s)
Time Training: 218.86s, Trained: 46k, (X:23040,O:22999), Self Play: 49964 (Draws: 92.57%)
N wins: 35314, R wins: 10557, Draws: 3955, [70.87:21.19:7.94] (100K-epoch: 33, 7.69s)
Time Training: 226.55s, Trained: 45k, (X:22872,O:22999), Self Play: 50174 (Draws: 92.50%)
N wins: 35490, R wins: 10689, Draws: 4011, [70.71:21.30:7.99] (100K-epoch: 34, 7.01s)
Time Training: 233.56s, Trained: 46k, (X:22984,O:23195), Self Play: 49810 (Draws: 92.21%)
N wins: 35238, R wins: 10637, Draws: 3913, [70.78:21.36:7.86] (100K-epoch: 35, 6.79s)
Time Training: 240.35s, Trained: 45k, (X:23090,O:22785), Self Play: 50212 (Draws: 92.03%)
N wins: 35323, R wins: 10795, Draws: 4005, [70.47:21.54:7.99] (100K-epoch: 36, 6.93s)
Time Training: 247.28s, Trained: 46k, (X:22967,O:23151), Self Play: 49877 (Draws: 92.15%)
N wins: 35707, R wins: 10379, Draws: 3972, [71.33:20.73:7.93] (100K-epoch: 37, 7.08s)
Time Training: 254.36s, Trained: 46k, (X:23278,O:22808), Self Play: 49942 (Draws: 92.42%)
N wins: 35536, R wins: 10415, Draws: 3979, [71.17:20.86:7.97] (100K-epoch: 38, 7.10s)
Time Training: 261.46s, Trained: 45k, (X:23017,O:22934), Self Play: 50070 (Draws: 92.67%)
N wins: 35139, R wins: 10714, Draws: 4011, [70.47:21.49:8.04] (100K-epoch: 39, 6.87s)
Time Training: 268.33s, Trained: 45k, (X:23063,O:22790), Self Play: 50136 (Draws: 92.39%)
N wins: 35471, R wins: 10588, Draws: 4079, [70.75:21.12:8.14] (100K-epoch: 40, 6.75s)
Time Training: 275.08s, Trained: 46k, (X:23157,O:22902), Self Play: 49862 (Draws: 92.60%)
N wins: 35308, R wins: 10661, Draws: 3946, [70.74:21.36:7.91] (100K-epoch: 41, 6.81s)
Time Training: 281.89s, Trained: 45k, (X:22932,O:23037), Self Play: 50085 (Draws: 92.34%)
N wins: 35684, R wins: 10558, Draws: 3987, [71.04:21.02:7.94] (100K-epoch: 42, 7.20s)
Time Training: 289.09s, Trained: 46k, (X:23230,O:23012), Self Play: 49771 (Draws: 92.77%)
N wins: 35410, R wins: 10454, Draws: 3978, [71.04:20.97:7.98] (100K-epoch: 43, 7.78s)
Time Training: 296.87s, Trained: 45k, (X:23091,O:22773), Self Play: 50158 (Draws: 92.45%)
