First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 2.04ms)
Time Training: 2.22ms, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 30609, R wins: 17466, Draws: 2042, [61.08:34.85:4.07] (100K-epoch: 2, 14.46s)
Time Training: 14.47s, Trained: 48k, (X:24081,O:23994), Self Play: 49883 (Draws: 0.00%)
N wins: 30533, R wins: 17242, Draws: 2083, [61.24:34.58:4.18] (100K-epoch: 3, 13.66s)
Time Training: 28.13s, Trained: 47k, (X:23800,O:23975), Self Play: 50142 (Draws: 0.00%)
N wins: 30498, R wins: 17386, Draws: 1966, [61.18:34.88:3.94] (100K-epoch: 4, 14.17s)
Time Training: 42.30s, Trained: 47k, (X:23837,O:24047), Self Play: 50150 (Draws: 0.00%)
N wins: 30450, R wins: 17493, Draws: 1997, [60.97:35.03:4.00] (100K-epoch: 5, 14.52s)
Time Training: 56.81s, Trained: 47k, (X:24007,O:23936), Self Play: 50060 (Draws: 0.00%)
N wins: 30624, R wins: 17405, Draws: 1990, [61.22:34.80:3.98] (100K-epoch: 6, 13.89s)
Time Training: 70.70s, Trained: 48k, (X:24103,O:23926), Self Play: 49981 (Draws: 0.00%)
N wins: 30626, R wins: 17226, Draws: 1943, [61.50:34.59:3.90] (100K-epoch: 7, 14.87s)
Time Training: 85.57s, Trained: 47k, (X:23913,O:23939), Self Play: 50205 (Draws: 0.00%)
N wins: 30746, R wins: 17422, Draws: 1960, [61.33:34.76:3.91] (100K-epoch: 8, 14.08s)
Time Training: 99.65s, Trained: 48k, (X:24081,O:24087), Self Play: 49872 (Draws: 0.00%)
N wins: 30298, R wins: 17372, Draws: 1968, [61.04:35.00:3.96] (100K-epoch: 9, 14.05s)
Time Training: 113.70s, Trained: 47k, (X:23723,O:23947), Self Play: 50362 (Draws: 0.00%)
N wins: 30510, R wins: 17359, Draws: 1967, [61.22:34.83:3.95] (100K-epoch: 10, 14.19s)
Time Training: 127.89s, Trained: 47k, (X:23989,O:23880), Self Play: 50164 (Draws: 0.00%)
N wins: 30378, R wins: 17286, Draws: 2060, [61.09:34.76:4.14] (100K-epoch: 11, 15.12s)
Time Training: 143.01s, Trained: 47k, (X:23918,O:23746), Self Play: 50276 (Draws: 0.00%)
N wins: 30458, R wins: 17440, Draws: 2057, [60.97:34.91:4.12] (100K-epoch: 12, 13.69s)
Time Training: 156.71s, Trained: 47k, (X:23846,O:24052), Self Play: 50045 (Draws: 0.00%)
