First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 1.07ms)
Time Training: 1.13ms, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 30151, R wins: 17533, Draws: 2139, [60.52:35.19:4.29] (100K-epoch: 2, 7.51s)
Time Training: 7.51s, Trained: 47k, (X:23816,O:23868), Self Play: 50177 (Draws: 0.00%)
N wins: 30571, R wins: 17658, Draws: 1890, [61.00:35.23:3.77] (100K-epoch: 3, 7.26s)
Time Training: 14.77s, Trained: 48k, (X:24233,O:23996), Self Play: 49881 (Draws: 0.00%)
N wins: 30433, R wins: 17524, Draws: 1994, [60.93:35.08:3.99] (100K-epoch: 4, 7.13s)
Time Training: 21.90s, Trained: 47k, (X:24072,O:23885), Self Play: 50049 (Draws: 0.00%)
N wins: 30573, R wins: 17532, Draws: 1944, [61.09:35.03:3.88] (100K-epoch: 5, 7.08s)
Time Training: 28.99s, Trained: 48k, (X:24168,O:23937), Self Play: 49951 (Draws: 0.00%)
N wins: 30632, R wins: 17687, Draws: 1921, [60.97:35.21:3.82] (100K-epoch: 6, 7.08s)
Time Training: 36.07s, Trained: 48k, (X:24116,O:24203), Self Play: 49760 (Draws: 0.00%)
N wins: 30563, R wins: 17525, Draws: 1959, [61.07:35.02:3.91] (100K-epoch: 7, 7.09s)
Time Training: 43.16s, Trained: 48k, (X:23978,O:24110), Self Play: 49953 (Draws: 0.00%)
N wins: 30511, R wins: 17434, Draws: 1925, [61.18:34.96:3.86] (100K-epoch: 8, 7.11s)
Time Training: 50.27s, Trained: 47k, (X:23850,O:24095), Self Play: 50130 (Draws: 0.00%)
N wins: 30753, R wins: 17555, Draws: 2075, [61.04:34.84:4.12] (100K-epoch: 9, 7.07s)
Time Training: 57.34s, Trained: 48k, (X:24164,O:24144), Self Play: 49617 (Draws: 0.00%)
N wins: 30232, R wins: 17350, Draws: 2032, [60.93:34.97:4.10] (100K-epoch: 10, 7.11s)
Time Training: 64.45s, Trained: 47k, (X:23596,O:23986), Self Play: 50386 (Draws: 0.00%)
N wins: 30409, R wins: 17655, Draws: 1971, [60.78:35.29:3.94] (100K-epoch: 11, 7.10s)
Time Training: 71.55s, Trained: 48k, (X:23914,O:24150), Self Play: 49965 (Draws: 0.00%)
N wins: 30692, R wins: 17372, Draws: 2013, [61.29:34.69:4.02] (100K-epoch: 12, 7.09s)
Time Training: 78.64s, Trained: 48k, (X:23910,O:24154), Self Play: 49923 (Draws: 0.00%)
N wins: 30691, R wins: 17606, Draws: 1962, [61.07:35.03:3.90] (100K-epoch: 13, 7.07s)
Time Training: 85.71s, Trained: 48k, (X:24201,O:24096), Self Play: 49741 (Draws: 0.00%)
N wins: 30527, R wins: 17425, Draws: 1997, [61.12:34.89:4.00] (100K-epoch: 14, 7.09s)
Time Training: 92.80s, Trained: 47k, (X:23911,O:24041), Self Play: 50051 (Draws: 0.00%)
N wins: 30568, R wins: 17454, Draws: 2063, [61.03:34.85:4.12] (100K-epoch: 15, 7.09s)
Time Training: 99.89s, Trained: 48k, (X:23937,O:24085), Self Play: 49915 (Draws: 0.00%)
N wins: 30678, R wins: 17648, Draws: 1990, [60.97:35.07:3.96] (100K-epoch: 16, 7.08s)
Time Training: 106.97s, Trained: 48k, (X:24030,O:24296), Self Play: 49684 (Draws: 0.00%)
N wins: 30517, R wins: 17525, Draws: 2005, [60.98:35.02:4.01] (100K-epoch: 17, 7.08s)
Time Training: 114.05s, Trained: 48k, (X:23837,O:24205), Self Play: 49953 (Draws: 0.00%)
N wins: 30720, R wins: 17525, Draws: 2035, [61.10:34.85:4.05] (100K-epoch: 18, 7.08s)
Time Training: 121.13s, Trained: 48k, (X:24123,O:24122), Self Play: 49720 (Draws: 0.00%)
N wins: 30606, R wins: 17467, Draws: 1974, [61.15:34.90:3.94] (100K-epoch: 19, 7.30s)
Time Training: 128.43s, Trained: 48k, (X:23977,O:24096), Self Play: 49953 (Draws: 0.00%)
N wins: 30515, R wins: 17440, Draws: 2045, [61.03:34.88:4.09] (100K-epoch: 20, 7.09s)
Time Training: 135.52s, Trained: 47k, (X:23950,O:24005), Self Play: 50000 (Draws: 0.00%)
N wins: 30537, R wins: 17517, Draws: 2020, [60.98:34.98:4.03] (100K-epoch: 21, 7.08s)
Time Training: 142.60s, Trained: 48k, (X:23871,O:24183), Self Play: 49926 (Draws: 0.00%)
N wins: 30660, R wins: 17292, Draws: 2002, [61.38:34.62:4.01] (100K-epoch: 22, 7.09s)
Time Training: 149.69s, Trained: 47k, (X:24005,O:23947), Self Play: 50046 (Draws: 0.00%)
N wins: 30525, R wins: 17429, Draws: 2036, [61.06:34.86:4.07] (100K-epoch: 23, 7.08s)
Time Training: 156.77s, Trained: 47k, (X:24052,O:23902), Self Play: 50010 (Draws: 0.00%)
N wins: 30525, R wins: 17516, Draws: 1908, [61.11:35.07:3.82] (100K-epoch: 24, 7.13s)
Time Training: 163.89s, Trained: 48k, (X:23972,O:24069), Self Play: 50051 (Draws: 0.00%)
N wins: 30378, R wins: 17351, Draws: 1975, [61.12:34.91:3.97] (100K-epoch: 25, 7.10s)
Time Training: 171.00s, Trained: 47k, (X:23841,O:23888), Self Play: 50296 (Draws: 0.00%)
N wins: 30369, R wins: 17432, Draws: 1972, [61.02:35.02:3.96] (100K-epoch: 26, 7.09s)
Time Training: 178.09s, Trained: 47k, (X:23751,O:24050), Self Play: 50227 (Draws: 0.00%)
N wins: 30602, R wins: 17594, Draws: 1988, [60.98:35.06:3.96] (100K-epoch: 27, 7.09s)
Time Training: 185.18s, Trained: 48k, (X:23939,O:24257), Self Play: 49816 (Draws: 0.00%)
N wins: 30662, R wins: 17582, Draws: 1979, [61.05:35.01:3.94] (100K-epoch: 28, 7.07s)
Time Training: 192.25s, Trained: 48k, (X:23969,O:24275), Self Play: 49777 (Draws: 0.00%)
N wins: 30601, R wins: 17299, Draws: 2011, [61.31:34.66:4.03] (100K-epoch: 29, 7.10s)
Time Training: 199.35s, Trained: 47k, (X:23835,O:24065), Self Play: 50089 (Draws: 0.00%)
N wins: 30406, R wins: 17378, Draws: 2024, [61.05:34.89:4.06] (100K-epoch: 30, 7.09s)
Time Training: 206.44s, Trained: 47k, (X:23860,O:23924), Self Play: 50192 (Draws: 0.00%)
N wins: 30248, R wins: 17732, Draws: 1982, [60.54:35.49:3.97] (100K-epoch: 31, 7.12s)
Time Training: 213.57s, Trained: 47k, (X:23785,O:24195), Self Play: 50038 (Draws: 0.00%)
N wins: 30587, R wins: 17555, Draws: 2032, [60.96:34.99:4.05] (100K-epoch: 32, 7.08s)
Time Training: 220.65s, Trained: 48k, (X:24026,O:24116), Self Play: 49826 (Draws: 0.00%)
N wins: 30597, R wins: 17212, Draws: 2015, [61.41:34.55:4.04] (100K-epoch: 33, 7.10s)
Time Training: 227.75s, Trained: 47k, (X:24009,O:23800), Self Play: 50176 (Draws: 0.00%)
N wins: 30566, R wins: 17572, Draws: 2129, [60.81:34.96:4.24] (100K-epoch: 34, 7.07s)
Time Training: 234.82s, Trained: 48k, (X:24116,O:24022), Self Play: 49733 (Draws: 0.00%)
N wins: 30785, R wins: 17451, Draws: 1965, [61.32:34.76:3.91] (100K-epoch: 35, 7.11s)
Time Training: 241.93s, Trained: 48k, (X:24069,O:24167), Self Play: 49799 (Draws: 0.00%)
N wins: 30770, R wins: 17473, Draws: 1952, [61.30:34.81:3.89] (100K-epoch: 36, 7.11s)
Time Training: 249.05s, Trained: 48k, (X:24149,O:24094), Self Play: 49805 (Draws: 0.00%)
N wins: 30444, R wins: 17508, Draws: 1982, [60.97:35.06:3.97] (100K-epoch: 37, 7.15s)
Time Training: 256.20s, Trained: 47k, (X:24039,O:23913), Self Play: 50066 (Draws: 0.00%)
N wins: 30460, R wins: 17548, Draws: 1963, [60.96:35.12:3.93] (100K-epoch: 38, 7.09s)
Time Training: 263.29s, Trained: 48k, (X:23831,O:24177), Self Play: 50029 (Draws: 0.00%)
N wins: 30391, R wins: 17470, Draws: 2046, [60.90:35.01:4.10] (100K-epoch: 39, 7.08s)
Time Training: 270.37s, Trained: 47k, (X:23952,O:23909), Self Play: 50093 (Draws: 0.00%)
N wins: 30694, R wins: 17374, Draws: 1944, [61.37:34.74:3.89] (100K-epoch: 40, 7.09s)
Time Training: 277.46s, Trained: 48k, (X:23914,O:24154), Self Play: 49988 (Draws: 0.00%)
N wins: 30583, R wins: 17402, Draws: 2015, [61.17:34.80:4.03] (100K-epoch: 41, 7.08s)
Time Training: 284.54s, Trained: 47k, (X:23917,O:24068), Self Play: 50000 (Draws: 0.00%)
N wins: 30580, R wins: 17415, Draws: 2020, [61.14:34.82:4.04] (100K-epoch: 42, 7.09s)
Time Training: 291.63s, Trained: 47k, (X:23821,O:24174), Self Play: 49985 (Draws: 0.00%)
N wins: 30477, R wins: 17552, Draws: 1942, [60.99:35.12:3.89] (100K-epoch: 43, 7.78s)
Time Training: 299.41s, Trained: 48k, (X:23865,O:24164), Self Play: 50029 (Draws: 0.00%)
N wins: 30343, R wins: 17550, Draws: 2039, [60.77:35.15:4.08] (100K-epoch: 44, 8.28s)
Time Training: 307.69s, Trained: 47k, (X:23733,O:24160), Self Play: 50068 (Draws: 0.00%)
N wins: 30492, R wins: 17548, Draws: 2035, [60.89:35.04:4.06] (100K-epoch: 45, 8.59s)
Time Training: 316.28s, Trained: 48k, (X:23968,O:24072), Self Play: 49925 (Draws: 0.00%)
N wins: 30902, R wins: 17301, Draws: 1946, [61.62:34.50:3.88] (100K-epoch: 46, 9.48s)
Time Training: 325.76s, Trained: 48k, (X:24182,O:24021), Self Play: 49851 (Draws: 0.00%)
N wins: 30506, R wins: 17668, Draws: 1935, [60.88:35.26:3.86] (100K-epoch: 47, 7.32s)
Time Training: 333.09s, Trained: 48k, (X:23891,O:24283), Self Play: 49891 (Draws: 0.00%)
N wins: 30727, R wins: 17382, Draws: 2022, [61.29:34.67:4.03] (100K-epoch: 48, 7.11s)
Time Training: 340.20s, Trained: 48k, (X:24018,O:24091), Self Play: 49869 (Draws: 0.00%)
N wins: 30424, R wins: 17300, Draws: 1984, [61.21:34.80:3.99] (100K-epoch: 49, 7.71s)
Time Training: 347.91s, Trained: 47k, (X:23885,O:23839), Self Play: 50292 (Draws: 0.00%)
N wins: 30357, R wins: 17355, Draws: 2037, [61.02:34.89:4.09] (100K-epoch: 50, 7.48s)
Time Training: 355.38s, Trained: 47k, (X:23667,O:24045), Self Play: 50251 (Draws: 0.00%)
N wins: 30614, R wins: 17500, Draws: 1917, [61.19:34.98:3.83] (100K-epoch: 51, 7.80s)
Time Training: 363.18s, Trained: 48k, (X:24139,O:23975), Self Play: 49969 (Draws: 0.00%)
N wins: 30335, R wins: 17904, Draws: 1977, [60.41:35.65:3.94] (100K-epoch: 52, 7.55s)
Time Training: 370.73s, Trained: 48k, (X:23801,O:24438), Self Play: 49784 (Draws: 0.00%)
N wins: 30449, R wins: 17663, Draws: 1947, [60.83:35.28:3.89] (100K-epoch: 53, 7.52s)
Time Training: 378.25s, Trained: 48k, (X:23899,O:24213), Self Play: 49941 (Draws: 0.00%)
N wins: 30616, R wins: 17371, Draws: 2024, [61.22:34.73:4.05] (100K-epoch: 54, 7.39s)
Time Training: 385.63s, Trained: 47k, (X:23956,O:24031), Self Play: 49989 (Draws: 0.00%)
N wins: 30605, R wins: 17380, Draws: 1938, [61.30:34.81:3.88] (100K-epoch: 55, 7.54s)
Time Training: 393.18s, Trained: 47k, (X:23895,O:24090), Self Play: 50077 (Draws: 0.00%)
N wins: 30503, R wins: 17316, Draws: 2017, [61.21:34.75:4.05] (100K-epoch: 56, 7.89s)
Time Training: 401.07s, Trained: 47k, (X:23817,O:24002), Self Play: 50164 (Draws: 0.00%)
N wins: 30390, R wins: 17540, Draws: 1964, [60.91:35.15:3.94] (100K-epoch: 57, 7.39s)
Time Training: 408.46s, Trained: 47k, (X:23837,O:24093), Self Play: 50106 (Draws: 0.00%)
N wins: 30481, R wins: 17358, Draws: 2044, [61.10:34.80:4.10] (100K-epoch: 58, 7.21s)
Time Training: 415.67s, Trained: 47k, (X:23895,O:23944), Self Play: 50117 (Draws: 0.00%)
N wins: 30389, R wins: 17632, Draws: 1958, [60.80:35.28:3.92] (100K-epoch: 59, 7.10s)
Time Training: 422.77s, Trained: 48k, (X:23940,O:24081), Self Play: 50021 (Draws: 0.00%)
N wins: 30695, R wins: 17323, Draws: 2017, [61.35:34.62:4.03] (100K-epoch: 60, 7.10s)
Time Training: 429.87s, Trained: 48k, (X:23951,O:24067), Self Play: 49965 (Draws: 0.00%)
N wins: 30679, R wins: 17284, Draws: 2010, [61.39:34.59:4.02] (100K-epoch: 61, 7.10s)
Time Training: 436.97s, Trained: 47k, (X:24018,O:23945), Self Play: 50027 (Draws: 0.00%)
N wins: 30406, R wins: 17631, Draws: 2064, [60.69:35.19:4.12] (100K-epoch: 62, 7.10s)
Time Training: 444.07s, Trained: 48k, (X:23816,O:24221), Self Play: 49899 (Draws: 0.00%)
N wins: 30470, R wins: 17502, Draws: 2014, [60.96:35.01:4.03] (100K-epoch: 63, 7.10s)
Time Training: 451.17s, Trained: 47k, (X:23985,O:23987), Self Play: 50014 (Draws: 0.00%)
N wins: 30443, R wins: 17515, Draws: 2086, [60.83:35.00:4.17] (100K-epoch: 64, 7.09s)
Time Training: 458.27s, Trained: 47k, (X:24045,O:23913), Self Play: 49956 (Draws: 0.00%)
N wins: 30345, R wins: 17442, Draws: 1961, [61.00:35.06:3.94] (100K-epoch: 65, 7.11s)
Time Training: 465.37s, Trained: 47k, (X:24060,O:23727), Self Play: 50252 (Draws: 0.00%)
N wins: 30401, R wins: 17637, Draws: 1978, [60.78:35.26:3.95] (100K-epoch: 66, 7.11s)
Time Training: 472.48s, Trained: 48k, (X:23963,O:24075), Self Play: 49984 (Draws: 0.00%)
N wins: 30651, R wins: 17512, Draws: 1991, [61.11:34.92:3.97] (100K-epoch: 67, 7.09s)
Time Training: 479.57s, Trained: 48k, (X:24128,O:24035), Self Play: 49846 (Draws: 0.00%)
N wins: 30366, R wins: 17644, Draws: 1955, [60.77:35.31:3.91] (100K-epoch: 68, 7.30s)
Time Training: 486.87s, Trained: 48k, (X:24010,O:24000), Self Play: 50035 (Draws: 0.00%)
N wins: 30191, R wins: 17367, Draws: 1968, [60.96:35.07:3.97] (100K-epoch: 69, 7.14s)
Time Training: 494.02s, Trained: 47k, (X:23823,O:23735), Self Play: 50474 (Draws: 0.00%)
N wins: 30647, R wins: 17448, Draws: 2065, [61.10:34.78:4.12] (100K-epoch: 70, 7.10s)
Time Training: 501.12s, Trained: 48k, (X:23946,O:24149), Self Play: 49840 (Draws: 0.00%)
N wins: 30524, R wins: 17435, Draws: 1954, [61.15:34.93:3.91] (100K-epoch: 71, 7.09s)
Time Training: 508.21s, Trained: 47k, (X:23930,O:24029), Self Play: 50087 (Draws: 0.00%)
N wins: 30497, R wins: 17246, Draws: 2076, [61.22:34.62:4.17] (100K-epoch: 72, 7.57s)
Time Training: 515.78s, Trained: 47k, (X:24013,O:23730), Self Play: 50181 (Draws: 0.00%)
N wins: 30622, R wins: 17380, Draws: 2029, [61.21:34.74:4.06] (100K-epoch: 73, 7.68s)
Time Training: 523.46s, Trained: 48k, (X:24005,O:23997), Self Play: 49969 (Draws: 0.00%)
N wins: 30408, R wins: 17414, Draws: 2024, [61.00:34.94:4.06] (100K-epoch: 74, 7.47s)
Time Training: 530.93s, Trained: 47k, (X:23816,O:24006), Self Play: 50154 (Draws: 0.00%)
N wins: 30529, R wins: 17518, Draws: 2030, [60.96:34.98:4.05] (100K-epoch: 75, 7.09s)
Time Training: 538.02s, Trained: 48k, (X:24046,O:24001), Self Play: 49923 (Draws: 0.00%)
N wins: 30517, R wins: 17572, Draws: 2085, [60.82:35.02:4.16] (100K-epoch: 76, 7.08s)
Time Training: 545.11s, Trained: 48k, (X:23842,O:24247), Self Play: 49826 (Draws: 0.00%)
N wins: 30530, R wins: 17385, Draws: 2013, [61.15:34.82:4.03] (100K-epoch: 77, 7.09s)
Time Training: 552.20s, Trained: 47k, (X:23935,O:23980), Self Play: 50072 (Draws: 0.00%)
N wins: 30225, R wins: 17570, Draws: 1971, [60.73:35.31:3.96] (100K-epoch: 78, 7.09s)
Time Training: 559.30s, Trained: 47k, (X:23722,O:24073), Self Play: 50234 (Draws: 0.00%)
N wins: 30610, R wins: 17467, Draws: 1958, [61.18:34.91:3.91] (100K-epoch: 79, 7.08s)
Time Training: 566.38s, Trained: 48k, (X:23936,O:24141), Self Play: 49965 (Draws: 0.00%)
N wins: 30610, R wins: 17376, Draws: 1990, [61.25:34.77:3.98] (100K-epoch: 80, 7.09s)
Time Training: 573.47s, Trained: 47k, (X:23941,O:24045), Self Play: 50024 (Draws: 0.00%)
N wins: 30408, R wins: 17606, Draws: 2015, [60.78:35.19:4.03] (100K-epoch: 81, 7.33s)
Time Training: 580.80s, Trained: 48k, (X:23926,O:24088), Self Play: 49971 (Draws: 0.00%)
N wins: 30886, R wins: 17301, Draws: 2016, [61.52:34.46:4.02] (100K-epoch: 82, 7.09s)
Time Training: 587.90s, Trained: 48k, (X:24254,O:23933), Self Play: 49797 (Draws: 0.00%)
N wins: 30216, R wins: 17652, Draws: 2026, [60.56:35.38:4.06] (100K-epoch: 83, 7.09s)
Time Training: 594.99s, Trained: 47k, (X:23784,O:24084), Self Play: 50106 (Draws: 0.00%)
N wins: 30550, R wins: 17457, Draws: 1975, [61.12:34.93:3.95] (100K-epoch: 84, 7.10s)
Time Training: 602.09s, Trained: 48k, (X:23914,O:24093), Self Play: 50018 (Draws: 0.00%)
N wins: 30627, R wins: 17407, Draws: 1929, [61.30:34.84:3.86] (100K-epoch: 85, 7.11s)
Time Training: 609.20s, Trained: 48k, (X:23794,O:24240), Self Play: 50037 (Draws: 0.00%)
N wins: 30718, R wins: 17539, Draws: 1908, [61.23:34.96:3.80] (100K-epoch: 86, 7.09s)
Time Training: 616.30s, Trained: 48k, (X:24135,O:24122), Self Play: 49835 (Draws: 0.00%)
N wins: 30506, R wins: 17487, Draws: 1986, [61.04:34.99:3.97] (100K-epoch: 87, 7.11s)
Time Training: 623.40s, Trained: 47k, (X:23987,O:24006), Self Play: 50021 (Draws: 0.00%)
N wins: 30562, R wins: 17611, Draws: 1976, [60.94:35.12:3.94] (100K-epoch: 88, 7.08s)
Time Training: 630.49s, Trained: 48k, (X:24071,O:24102), Self Play: 49851 (Draws: 0.00%)
N wins: 30484, R wins: 17543, Draws: 2042, [60.88:35.04:4.08] (100K-epoch: 89, 7.09s)
Time Training: 637.59s, Trained: 48k, (X:23931,O:24096), Self Play: 49931 (Draws: 0.00%)
N wins: 30709, R wins: 17621, Draws: 1928, [61.10:35.06:3.84] (100K-epoch: 90, 7.11s)
Time Training: 644.70s, Trained: 48k, (X:23915,O:24415), Self Play: 49742 (Draws: 0.00%)
N wins: 30483, R wins: 17345, Draws: 1962, [61.22:34.84:3.94] (100K-epoch: 91, 7.10s)
Time Training: 651.80s, Trained: 47k, (X:23903,O:23925), Self Play: 50210 (Draws: 0.00%)
N wins: 30450, R wins: 17470, Draws: 2069, [60.91:34.95:4.14] (100K-epoch: 92, 7.10s)
Time Training: 658.90s, Trained: 47k, (X:23904,O:24016), Self Play: 50011 (Draws: 0.00%)
N wins: 30448, R wins: 17454, Draws: 2007, [61.01:34.97:4.02] (100K-epoch: 93, 7.26s)
Time Training: 666.17s, Trained: 47k, (X:23702,O:24200), Self Play: 50091 (Draws: 0.00%)
N wins: 30348, R wins: 17564, Draws: 1968, [60.84:35.21:3.95] (100K-epoch: 94, 7.09s)
Time Training: 673.27s, Trained: 47k, (X:23929,O:23983), Self Play: 50120 (Draws: 0.00%)
N wins: 30747, R wins: 17318, Draws: 2017, [61.39:34.58:4.03] (100K-epoch: 95, 7.09s)
Time Training: 680.36s, Trained: 48k, (X:24083,O:23982), Self Play: 49918 (Draws: 0.00%)
N wins: 30260, R wins: 17697, Draws: 2041, [60.52:35.40:4.08] (100K-epoch: 96, 7.09s)
Time Training: 687.46s, Trained: 47k, (X:23796,O:24161), Self Play: 50002 (Draws: 0.00%)
N wins: 30699, R wins: 17606, Draws: 1986, [61.04:35.01:3.95] (100K-epoch: 97, 7.09s)
Time Training: 694.54s, Trained: 48k, (X:24144,O:24161), Self Play: 49709 (Draws: 0.00%)
N wins: 30504, R wins: 17252, Draws: 1964, [61.35:34.70:3.95] (100K-epoch: 98, 7.16s)
Time Training: 701.71s, Trained: 47k, (X:23969,O:23787), Self Play: 50280 (Draws: 0.00%)
N wins: 30554, R wins: 17314, Draws: 1971, [61.31:34.74:3.95] (100K-epoch: 99, 7.15s)
Time Training: 708.86s, Trained: 47k, (X:23894,O:23974), Self Play: 50161 (Draws: 0.00%)
N wins: 30583, R wins: 17568, Draws: 1905, [61.10:35.10:3.81] (100K-epoch: 100, 7.13s)
Time Training: 716.00s, Trained: 48k, (X:23955,O:24196), Self Play: 49944 (Draws: 0.00%)
N wins: 30692, R wins: 17433, Draws: 1937, [61.31:34.82:3.87] (100K-epoch: 101, 7.09s)
Time Training: 723.09s, Trained: 48k, (X:23973,O:24152), Self Play: 49938 (Draws: 0.00%)
N wins: 30696, R wins: 17507, Draws: 1935, [61.22:34.92:3.86] (100K-epoch: 102, 7.09s)
Time Training: 730.19s, Trained: 48k, (X:24272,O:23931), Self Play: 49862 (Draws: 0.00%)
N wins: 30478, R wins: 17458, Draws: 1966, [61.08:34.98:3.94] (100K-epoch: 103, 7.08s)
Time Training: 737.27s, Trained: 47k, (X:23978,O:23958), Self Play: 50098 (Draws: 0.00%)
N wins: 30299, R wins: 17503, Draws: 1915, [60.94:35.21:3.85] (100K-epoch: 104, 7.10s)
Time Training: 744.37s, Trained: 47k, (X:23673,O:24129), Self Play: 50283 (Draws: 0.00%)
N wins: 30657, R wins: 17385, Draws: 1942, [61.33:34.78:3.89] (100K-epoch: 105, 7.10s)
Time Training: 751.48s, Trained: 48k, (X:24199,O:23843), Self Play: 50016 (Draws: 0.00%)
N wins: 30824, R wins: 17327, Draws: 1962, [61.51:34.58:3.92] (100K-epoch: 106, 7.11s)
Time Training: 758.59s, Trained: 48k, (X:24093,O:24058), Self Play: 49887 (Draws: 0.00%)
N wins: 30431, R wins: 17274, Draws: 2092, [61.11:34.69:4.20] (100K-epoch: 107, 7.11s)
Time Training: 765.70s, Trained: 47k, (X:23848,O:23857), Self Play: 50203 (Draws: 0.00%)
N wins: 30371, R wins: 17519, Draws: 2018, [60.85:35.10:4.04] (100K-epoch: 108, 7.10s)
Time Training: 772.80s, Trained: 47k, (X:23831,O:24059), Self Play: 50092 (Draws: 0.00%)
N wins: 30297, R wins: 17741, Draws: 2019, [60.53:35.44:4.03] (100K-epoch: 109, 7.09s)
Time Training: 779.89s, Trained: 48k, (X:23814,O:24224), Self Play: 49943 (Draws: 0.00%)
N wins: 30598, R wins: 17721, Draws: 1981, [60.83:35.23:3.94] (100K-epoch: 110, 7.07s)
Time Training: 786.97s, Trained: 48k, (X:24010,O:24309), Self Play: 49700 (Draws: 0.00%)
N wins: 30456, R wins: 17690, Draws: 1950, [60.80:35.31:3.89] (100K-epoch: 111, 7.08s)
Time Training: 794.06s, Trained: 48k, (X:23984,O:24162), Self Play: 49904 (Draws: 0.00%)
N wins: 30441, R wins: 17600, Draws: 2025, [60.80:35.15:4.04] (100K-epoch: 112, 7.08s)
Time Training: 801.14s, Trained: 48k, (X:23962,O:24079), Self Play: 49934 (Draws: 0.00%)
N wins: 30466, R wins: 17503, Draws: 1957, [61.02:35.06:3.92] (100K-epoch: 113, 7.08s)
Time Training: 808.23s, Trained: 47k, (X:23923,O:24046), Self Play: 50074 (Draws: 0.00%)
N wins: 30249, R wins: 17475, Draws: 1989, [60.85:35.15:4.00] (100K-epoch: 114, 7.10s)
