First 1 second:
N wins: 0, R wins: 0, Draws: 1, [0.00:0.00:100.00] (100K-epoch: 1, 748.70µs)
Time Training: 803.40µs, Trained: 0k, (X:0,O:0), Self Play: 0 (Draws: NaN%)
N wins: 32991, R wins: 13898, Draws: 3320, [65.71:27.68:6.61] (100K-epoch: 2, 7.79s)
Time Training: 7.79s, Trained: 46k, (X:23834,O:23055), Self Play: 49791 (Draws: 56.16%)
N wins: 35828, R wins: 11272, Draws: 3030, [71.47:22.49:6.04] (100K-epoch: 3, 6.67s)
Time Training: 14.46s, Trained: 47k, (X:23708,O:23392), Self Play: 49870 (Draws: 98.96%)
N wins: 35633, R wins: 11418, Draws: 2983, [71.22:22.82:5.96] (100K-epoch: 4, 6.93s)
Time Training: 21.40s, Trained: 47k, (X:23709,O:23342), Self Play: 49966 (Draws: 97.98%)
N wins: 35600, R wins: 11405, Draws: 2920, [71.31:22.84:5.85] (100K-epoch: 5, 6.74s)
Time Training: 28.14s, Trained: 47k, (X:23804,O:23201), Self Play: 50075 (Draws: 99.01%)
N wins: 35621, R wins: 11404, Draws: 2904, [71.34:22.84:5.82] (100K-epoch: 6, 6.63s)
Time Training: 34.77s, Trained: 47k, (X:23631,O:23394), Self Play: 50071 (Draws: 99.01%)
N wins: 35428, R wins: 11247, Draws: 2972, [71.36:22.65:5.99] (100K-epoch: 7, 6.68s)
Time Training: 41.45s, Trained: 46k, (X:23681,O:22994), Self Play: 50353 (Draws: 97.98%)
N wins: 35379, R wins: 11257, Draws: 3051, [71.20:22.66:6.14] (100K-epoch: 8, 6.61s)
Time Training: 48.06s, Trained: 46k, (X:23495,O:23141), Self Play: 50313 (Draws: 99.05%)
N wins: 35450, R wins: 11328, Draws: 2935, [71.31:22.79:5.90] (100K-epoch: 9, 6.91s)
Time Training: 54.98s, Trained: 46k, (X:23432,O:23346), Self Play: 50287 (Draws: 99.03%)
N wins: 35491, R wins: 11493, Draws: 3030, [70.96:22.98:6.06] (100K-epoch: 10, 7.07s)
Time Training: 62.05s, Trained: 46k, (X:23549,O:23435), Self Play: 49986 (Draws: 98.02%)
N wins: 35757, R wins: 11368, Draws: 2934, [71.43:22.71:5.86] (100K-epoch: 11, 6.89s)
Time Training: 68.95s, Trained: 47k, (X:23572,O:23553), Self Play: 49941 (Draws: 99.05%)
N wins: 35449, R wins: 11578, Draws: 3013, [70.84:23.14:6.02] (100K-epoch: 12, 6.78s)
Time Training: 75.73s, Trained: 47k, (X:23551,O:23476), Self Play: 49960 (Draws: 98.03%)
N wins: 35878, R wins: 11286, Draws: 3053, [71.45:22.47:6.08] (100K-epoch: 13, 6.82s)
Time Training: 82.55s, Trained: 47k, (X:23786,O:23378), Self Play: 49783 (Draws: 99.00%)
N wins: 35890, R wins: 11135, Draws: 3055, [71.67:22.23:6.10] (100K-epoch: 14, 6.72s)
Time Training: 89.28s, Trained: 47k, (X:23751,O:23274), Self Play: 49920 (Draws: 99.04%)
N wins: 35668, R wins: 11494, Draws: 2923, [71.21:22.95:5.84] (100K-epoch: 15, 6.74s)
Time Training: 96.01s, Trained: 47k, (X:23743,O:23419), Self Play: 49915 (Draws: 99.01%)
N wins: 36071, R wins: 11198, Draws: 2979, [71.79:22.29:5.93] (100K-epoch: 16, 6.79s)
Time Training: 102.80s, Trained: 47k, (X:23772,O:23497), Self Play: 49752 (Draws: 97.99%)
N wins: 35750, R wins: 11305, Draws: 3053, [71.35:22.56:6.09] (100K-epoch: 17, 6.72s)
Time Training: 109.53s, Trained: 47k, (X:23672,O:23383), Self Play: 49892 (Draws: 99.00%)
N wins: 35582, R wins: 11386, Draws: 2928, [71.31:22.82:5.87] (100K-epoch: 18, 6.74s)
Time Training: 116.26s, Trained: 46k, (X:23775,O:23193), Self Play: 50104 (Draws: 98.99%)
N wins: 35710, R wins: 11502, Draws: 2936, [71.21:22.94:5.85] (100K-epoch: 19, 6.78s)
Time Training: 123.04s, Trained: 47k, (X:23699,O:23513), Self Play: 49852 (Draws: 98.03%)
N wins: 35721, R wins: 11367, Draws: 2910, [71.44:22.73:5.82] (100K-epoch: 20, 6.75s)
Time Training: 129.79s, Trained: 47k, (X:23790,O:23298), Self Play: 50002 (Draws: 99.02%)
N wins: 35671, R wins: 11508, Draws: 3022, [71.06:22.92:6.02] (100K-epoch: 21, 6.73s)
Time Training: 136.52s, Trained: 47k, (X:23847,O:23332), Self Play: 49799 (Draws: 98.99%)
N wins: 35599, R wins: 11387, Draws: 3022, [71.19:22.77:6.04] (100K-epoch: 22, 6.78s)
Time Training: 143.30s, Trained: 46k, (X:23675,O:23311), Self Play: 49992 (Draws: 98.05%)
N wins: 35657, R wins: 11196, Draws: 3007, [71.51:22.45:6.03] (100K-epoch: 23, 6.73s)
Time Training: 150.04s, Trained: 46k, (X:23410,O:23443), Self Play: 50140 (Draws: 98.95%)
N wins: 35726, R wins: 11424, Draws: 2923, [71.35:22.81:5.84] (100K-epoch: 24, 6.73s)
Time Training: 156.77s, Trained: 47k, (X:23561,O:23589), Self Play: 49927 (Draws: 98.97%)
N wins: 35471, R wins: 11513, Draws: 2904, [71.10:23.08:5.82] (100K-epoch: 25, 6.80s)
Time Training: 163.57s, Trained: 46k, (X:23727,O:23257), Self Play: 50112 (Draws: 97.98%)
N wins: 35334, R wins: 11457, Draws: 2939, [71.05:23.04:5.91] (100K-epoch: 26, 6.73s)
Time Training: 170.30s, Trained: 46k, (X:23545,O:23246), Self Play: 50270 (Draws: 99.00%)
N wins: 35606, R wins: 11401, Draws: 3011, [71.19:22.79:6.02] (100K-epoch: 27, 6.85s)
Time Training: 177.15s, Trained: 47k, (X:23768,O:23239), Self Play: 49982 (Draws: 97.90%)
N wins: 35815, R wins: 11535, Draws: 2938, [71.22:22.94:5.84] (100K-epoch: 28, 6.73s)
Time Training: 183.88s, Trained: 47k, (X:23839,O:23511), Self Play: 49712 (Draws: 98.97%)
N wins: 35584, R wins: 11349, Draws: 2928, [71.37:22.76:5.87] (100K-epoch: 29, 6.75s)
Time Training: 190.63s, Trained: 46k, (X:23535,O:23398), Self Play: 50139 (Draws: 99.02%)
N wins: 35819, R wins: 11158, Draws: 3010, [71.66:22.32:6.02] (100K-epoch: 30, 6.72s)
Time Training: 197.35s, Trained: 46k, (X:23729,O:23248), Self Play: 50013 (Draws: 99.01%)
N wins: 35575, R wins: 11342, Draws: 2930, [71.37:22.75:5.88] (100K-epoch: 31, 6.73s)
Time Training: 204.08s, Trained: 46k, (X:23617,O:23300), Self Play: 50153 (Draws: 98.98%)
N wins: 35651, R wins: 11247, Draws: 2937, [71.54:22.57:5.89] (100K-epoch: 32, 6.74s)
Time Training: 210.82s, Trained: 46k, (X:23529,O:23369), Self Play: 50165 (Draws: 98.97%)
N wins: 35670, R wins: 11455, Draws: 2906, [71.30:22.90:5.81] (100K-epoch: 33, 6.79s)
Time Training: 217.61s, Trained: 47k, (X:23855,O:23270), Self Play: 49969 (Draws: 97.97%)
N wins: 35670, R wins: 11406, Draws: 2851, [71.44:22.85:5.71] (100K-epoch: 34, 6.77s)
Time Training: 224.38s, Trained: 47k, (X:23833,O:23243), Self Play: 50073 (Draws: 98.97%)
N wins: 35789, R wins: 11557, Draws: 2924, [71.19:22.99:5.82] (100K-epoch: 35, 6.79s)
Time Training: 231.17s, Trained: 47k, (X:23890,O:23456), Self Play: 49730 (Draws: 98.00%)
N wins: 35657, R wins: 11329, Draws: 3001, [71.33:22.66:6.00] (100K-epoch: 36, 6.74s)
Time Training: 237.92s, Trained: 46k, (X:23795,O:23191), Self Play: 50013 (Draws: 98.98%)
N wins: 35713, R wins: 11465, Draws: 3027, [71.13:22.84:6.03] (100K-epoch: 37, 6.91s)
Time Training: 244.83s, Trained: 47k, (X:23572,O:23606), Self Play: 49795 (Draws: 99.01%)
N wins: 35615, R wins: 11368, Draws: 2903, [71.39:22.79:5.82] (100K-epoch: 38, 6.85s)
Time Training: 251.68s, Trained: 46k, (X:23742,O:23241), Self Play: 50114 (Draws: 98.99%)
N wins: 35479, R wins: 11400, Draws: 2990, [71.14:22.86:6.00] (100K-epoch: 39, 6.83s)
Time Training: 258.51s, Trained: 46k, (X:23534,O:23345), Self Play: 50131 (Draws: 98.04%)
N wins: 35461, R wins: 11480, Draws: 2946, [71.08:23.01:5.91] (100K-epoch: 40, 6.73s)
Time Training: 265.23s, Trained: 46k, (X:23562,O:23379), Self Play: 50113 (Draws: 99.02%)
N wins: 35588, R wins: 11436, Draws: 2954, [71.21:22.88:5.91] (100K-epoch: 41, 6.75s)
Time Training: 271.98s, Trained: 47k, (X:23741,O:23283), Self Play: 50022 (Draws: 99.01%)
N wins: 35628, R wins: 11355, Draws: 3026, [71.24:22.71:6.05] (100K-epoch: 42, 6.80s)
Time Training: 278.78s, Trained: 46k, (X:23681,O:23302), Self Play: 49991 (Draws: 98.00%)
N wins: 35630, R wins: 11492, Draws: 3018, [71.06:22.92:6.02] (100K-epoch: 43, 6.74s)
Time Training: 285.52s, Trained: 47k, (X:23943,O:23179), Self Play: 49860 (Draws: 99.00%)
N wins: 35793, R wins: 11420, Draws: 2931, [71.38:22.77:5.85] (100K-epoch: 44, 6.74s)
Time Training: 292.26s, Trained: 47k, (X:24034,O:23179), Self Play: 49856 (Draws: 99.02%)
N wins: 35608, R wins: 11535, Draws: 2908, [71.14:23.05:5.81] (100K-epoch: 45, 6.78s)
Time Training: 299.05s, Trained: 47k, (X:23655,O:23488), Self Play: 49949 (Draws: 98.04%)
N wins: 35686, R wins: 11150, Draws: 2954, [71.67:22.39:5.93] (100K-epoch: 46, 6.76s)
Time Training: 305.81s, Trained: 46k, (X:23695,O:23141), Self Play: 50210 (Draws: 98.96%)
N wins: 35756, R wins: 11200, Draws: 2943, [71.66:22.45:5.90] (100K-epoch: 47, 6.73s)
Time Training: 312.54s, Trained: 46k, (X:23751,O:23205), Self Play: 50101 (Draws: 98.98%)
N wins: 35529, R wins: 11295, Draws: 2990, [71.32:22.67:6.00] (100K-epoch: 48, 6.75s)
Time Training: 319.29s, Trained: 46k, (X:23553,O:23271), Self Play: 50186 (Draws: 99.01%)
N wins: 35636, R wins: 11301, Draws: 2971, [71.40:22.64:5.95] (100K-epoch: 49, 6.78s)
Time Training: 326.08s, Trained: 46k, (X:23611,O:23326), Self Play: 50092 (Draws: 97.98%)
N wins: 35697, R wins: 11282, Draws: 2949, [71.50:22.60:5.91] (100K-epoch: 50, 6.80s)
Time Training: 332.87s, Trained: 46k, (X:23699,O:23280), Self Play: 50072 (Draws: 99.05%)
N wins: 35377, R wins: 11348, Draws: 2922, [71.26:22.86:5.89] (100K-epoch: 51, 6.77s)
Time Training: 339.65s, Trained: 46k, (X:23505,O:23220), Self Play: 50353 (Draws: 98.96%)
N wins: 35403, R wins: 11368, Draws: 2997, [71.14:22.84:6.02] (100K-epoch: 52, 6.77s)
