First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 1.15ms)
Time Training: 1.33ms, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 30488, R wins: 17488, Draws: 2017, [60.98:34.98:4.03] (100K-epoch: 2, 9.86s)
Time Training: 9.86s, Trained: 47k, (X:24161,O:23815), Self Play: 50007 (Draws: 1.00%)
N wins: 30447, R wins: 17388, Draws: 2090, [60.99:34.83:4.19] (100K-epoch: 3, 9.19s)
Time Training: 19.05s, Trained: 47k, (X:23980,O:23855), Self Play: 50075 (Draws: 0.00%)
N wins: 30630, R wins: 17447, Draws: 1947, [61.23:34.88:3.89] (100K-epoch: 4, 9.21s)
Time Training: 28.27s, Trained: 48k, (X:24100,O:23977), Self Play: 49976 (Draws: 0.00%)
N wins: 30420, R wins: 17486, Draws: 1975, [60.99:35.06:3.96] (100K-epoch: 5, 9.19s)
Time Training: 37.46s, Trained: 47k, (X:23921,O:23985), Self Play: 50119 (Draws: 0.00%)
N wins: 30358, R wins: 17557, Draws: 2029, [60.78:35.15:4.06] (100K-epoch: 6, 9.99s)
Time Training: 47.45s, Trained: 47k, (X:23910,O:24005), Self Play: 50056 (Draws: 0.00%)
N wins: 30697, R wins: 17440, Draws: 2011, [61.21:34.78:4.01] (100K-epoch: 7, 9.29s)
Time Training: 56.74s, Trained: 48k, (X:24184,O:23953), Self Play: 49852 (Draws: 0.00%)
N wins: 30583, R wins: 17442, Draws: 2063, [61.06:34.82:4.12] (100K-epoch: 8, 9.17s)
Time Training: 65.91s, Trained: 48k, (X:23897,O:24128), Self Play: 49912 (Draws: 0.00%)
N wins: 30345, R wins: 17525, Draws: 1923, [60.94:35.20:3.86] (100K-epoch: 9, 9.20s)
Time Training: 75.11s, Trained: 47k, (X:23904,O:23966), Self Play: 50207 (Draws: 0.00%)
N wins: 30381, R wins: 17709, Draws: 2047, [60.60:35.32:4.08] (100K-epoch: 10, 9.19s)
Time Training: 84.30s, Trained: 48k, (X:23941,O:24149), Self Play: 49863 (Draws: 0.00%)
N wins: 30282, R wins: 17456, Draws: 2093, [60.77:35.03:4.20] (100K-epoch: 11, 9.18s)
Time Training: 93.48s, Trained: 47k, (X:23811,O:23927), Self Play: 50169 (Draws: 0.00%)
N wins: 30755, R wins: 17381, Draws: 2047, [61.29:34.64:4.08] (100K-epoch: 12, 9.16s)
