First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 1.07ms)
Time Training: 1.24ms, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 30017, R wins: 13458, Draws: 6527, [60.03:26.91:13.05] (100K-epoch: 2, 17.34s)
Time Training: 17.34s, Trained: 43k, (X:21577,O:21898), Self Play: 49998 (Draws: 96.53%)
N wins: 30544, R wins: 17141, Draws: 2407, [60.98:34.22:4.81] (100K-epoch: 3, 20.18s)
Time Training: 37.52s, Trained: 47k, (X:23876,O:23809), Self Play: 49908 (Draws: 8.05%)
N wins: 30564, R wins: 17596, Draws: 2006, [60.93:35.08:4.00] (100K-epoch: 4, 20.29s)
Time Training: 57.81s, Trained: 48k, (X:23964,O:24196), Self Play: 49834 (Draws: 0.00%)
N wins: 30202, R wins: 17533, Draws: 2076, [60.63:35.20:4.17] (100K-epoch: 5, 20.14s)
Time Training: 77.95s, Trained: 47k, (X:23641,O:24094), Self Play: 50189 (Draws: 0.00%)
N wins: 30602, R wins: 17394, Draws: 2000, [61.21:34.79:4.00] (100K-epoch: 6, 20.14s)
Time Training: 98.09s, Trained: 47k, (X:24034,O:23962), Self Play: 50004 (Draws: 0.00%)
N wins: 30573, R wins: 17501, Draws: 1988, [61.07:34.96:3.97] (100K-epoch: 7, 20.12s)
Time Training: 118.21s, Trained: 48k, (X:23987,O:24087), Self Play: 49938 (Draws: 0.00%)
N wins: 30346, R wins: 17515, Draws: 1998, [60.86:35.13:4.01] (100K-epoch: 8, 20.20s)
Time Training: 138.40s, Trained: 47k, (X:23766,O:24095), Self Play: 50141 (Draws: 0.00%)
N wins: 30571, R wins: 17335, Draws: 1998, [61.26:34.74:4.00] (100K-epoch: 9, 20.15s)
Time Training: 158.55s, Trained: 47k, (X:23882,O:24024), Self Play: 50096 (Draws: 0.00%)
N wins: 30653, R wins: 17369, Draws: 2034, [61.24:34.70:4.06] (100K-epoch: 10, 20.09s)
Time Training: 178.65s, Trained: 48k, (X:24009,O:24013), Self Play: 49944 (Draws: 0.00%)
N wins: 30499, R wins: 17440, Draws: 1950, [61.13:34.96:3.91] (100K-epoch: 11, 20.13s)
Time Training: 198.78s, Trained: 47k, (X:23914,O:24025), Self Play: 50111 (Draws: 0.00%)
N wins: 30602, R wins: 17610, Draws: 2053, [60.88:35.03:4.08] (100K-epoch: 12, 20.16s)
Time Training: 218.94s, Trained: 48k, (X:24097,O:24115), Self Play: 49735 (Draws: 0.00%)
N wins: 30404, R wins: 17489, Draws: 1924, [61.03:35.11:3.86] (100K-epoch: 13, 20.28s)
Time Training: 239.22s, Trained: 47k, (X:23895,O:23998), Self Play: 50183 (Draws: 0.00%)
N wins: 30503, R wins: 17270, Draws: 2072, [61.20:34.65:4.16] (100K-epoch: 14, 20.63s)
Time Training: 259.85s, Trained: 47k, (X:23935,O:23838), Self Play: 50155 (Draws: 0.00%)
N wins: 30429, R wins: 17566, Draws: 1884, [61.01:35.22:3.78] (100K-epoch: 15, 22.12s)
Time Training: 281.97s, Trained: 47k, (X:23918,O:24077), Self Play: 50121 (Draws: 0.00%)
N wins: 30544, R wins: 17479, Draws: 2031, [61.02:34.92:4.06] (100K-epoch: 16, 21.68s)
Time Training: 303.65s, Trained: 48k, (X:23937,O:24086), Self Play: 49946 (Draws: 0.00%)
N wins: 30474, R wins: 17638, Draws: 1980, [60.84:35.21:3.95] (100K-epoch: 17, 21.65s)
Time Training: 325.30s, Trained: 48k, (X:23895,O:24217), Self Play: 49908 (Draws: 0.00%)
N wins: 30600, R wins: 17278, Draws: 2020, [61.33:34.63:4.05] (100K-epoch: 18, 21.62s)
Time Training: 346.92s, Trained: 47k, (X:23930,O:23948), Self Play: 50102 (Draws: 0.00%)
N wins: 30683, R wins: 17493, Draws: 1983, [61.17:34.88:3.95] (100K-epoch: 19, 21.71s)
Time Training: 368.63s, Trained: 48k, (X:23966,O:24210), Self Play: 49841 (Draws: 0.00%)
N wins: 30544, R wins: 17327, Draws: 2002, [61.24:34.74:4.01] (100K-epoch: 20, 22.02s)
Time Training: 390.65s, Trained: 47k, (X:23985,O:23886), Self Play: 50127 (Draws: 0.00%)
N wins: 30598, R wins: 17462, Draws: 2025, [61.09:34.86:4.04] (100K-epoch: 21, 20.37s)
Time Training: 411.02s, Trained: 48k, (X:24078,O:23982), Self Play: 49915 (Draws: 0.00%)
N wins: 30463, R wins: 17381, Draws: 2000, [61.12:34.87:4.01] (100K-epoch: 22, 20.38s)
Time Training: 431.40s, Trained: 47k, (X:23867,O:23977), Self Play: 50156 (Draws: 0.00%)
N wins: 30563, R wins: 17481, Draws: 2026, [61.04:34.91:4.05] (100K-epoch: 23, 20.55s)
Time Training: 451.95s, Trained: 48k, (X:24021,O:24023), Self Play: 49930 (Draws: 0.00%)
N wins: 30680, R wins: 17495, Draws: 1955, [61.20:34.90:3.90] (100K-epoch: 24, 20.44s)
Time Training: 472.39s, Trained: 48k, (X:24040,O:24135), Self Play: 49870 (Draws: 0.00%)
N wins: 30440, R wins: 17400, Draws: 1927, [61.17:34.96:3.87] (100K-epoch: 25, 20.50s)
Time Training: 492.89s, Trained: 47k, (X:23932,O:23908), Self Play: 50233 (Draws: 0.00%)
N wins: 30511, R wins: 17565, Draws: 1947, [60.99:35.11:3.89] (100K-epoch: 26, 20.46s)
Time Training: 513.36s, Trained: 48k, (X:23768,O:24308), Self Play: 49977 (Draws: 0.00%)
N wins: 30429, R wins: 17491, Draws: 2020, [60.93:35.02:4.04] (100K-epoch: 27, 20.47s)
Time Training: 533.83s, Trained: 47k, (X:23905,O:24015), Self Play: 50060 (Draws: 0.00%)
N wins: 30639, R wins: 17418, Draws: 1986, [61.23:34.81:3.97] (100K-epoch: 28, 20.49s)
Time Training: 554.32s, Trained: 48k, (X:24025,O:24032), Self Play: 49957 (Draws: 0.00%)
N wins: 30373, R wins: 17473, Draws: 1981, [60.96:35.07:3.98] (100K-epoch: 29, 20.53s)
Time Training: 574.85s, Trained: 47k, (X:23852,O:23994), Self Play: 50173 (Draws: 0.00%)
N wins: 30495, R wins: 17500, Draws: 1962, [61.04:35.03:3.93] (100K-epoch: 30, 20.69s)
