First 1 second:
N wins: 0, R wins: 1, Draws: 0, [0.00:100.00:0.00] (100K-epoch: 1, 900.40µs)
Time Training: 971.30µs, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 60900, R wins: 35043, Draws: 4057, [60.90:35.04:4.06] (100K-epoch: 2, 8.78s)
Time Training: 8.78s, Trained: 95k, (X:48191,O:47752), Self Play: 0 (Draws: NaN%)
N wins: 60903, R wins: 35022, Draws: 4075, [60.90:35.02:4.08] (100K-epoch: 3, 8.64s)
Time Training: 17.42s, Trained: 95k, (X:47792,O:48133), Self Play: 0 (Draws: NaN%)
N wins: 61215, R wins: 34736, Draws: 4049, [61.22:34.74:4.05] (100K-epoch: 4, 8.68s)
Time Training: 26.11s, Trained: 95k, (X:48015,O:47936), Self Play: 0 (Draws: NaN%)
N wins: 61097, R wins: 34844, Draws: 4059, [61.10:34.84:4.06] (100K-epoch: 5, 8.64s)
Time Training: 34.75s, Trained: 95k, (X:47932,O:48009), Self Play: 0 (Draws: NaN%)
N wins: 61005, R wins: 35086, Draws: 3909, [61.01:35.09:3.91] (100K-epoch: 6, 8.67s)
Time Training: 43.42s, Trained: 96k, (X:47977,O:48114), Self Play: 0 (Draws: NaN%)
N wins: 61143, R wins: 34943, Draws: 3914, [61.14:34.94:3.91] (100K-epoch: 7, 8.67s)
Time Training: 52.09s, Trained: 96k, (X:47885,O:48201), Self Play: 0 (Draws: NaN%)
N wins: 61273, R wins: 34719, Draws: 4008, [61.27:34.72:4.01] (100K-epoch: 8, 8.64s)
Time Training: 60.73s, Trained: 95k, (X:48153,O:47839), Self Play: 0 (Draws: NaN%)
N wins: 60966, R wins: 35002, Draws: 4032, [60.97:35.00:4.03] (100K-epoch: 9, 8.65s)
Time Training: 69.38s, Trained: 95k, (X:48148,O:47820), Self Play: 0 (Draws: NaN%)
N wins: 61200, R wins: 34820, Draws: 3980, [61.20:34.82:3.98] (100K-epoch: 10, 8.66s)
Time Training: 78.04s, Trained: 96k, (X:48082,O:47938), Self Play: 0 (Draws: NaN%)
N wins: 61190, R wins: 34803, Draws: 4007, [61.19:34.80:4.01] (100K-epoch: 11, 8.64s)
Time Training: 86.68s, Trained: 95k, (X:48052,O:47941), Self Play: 0 (Draws: NaN%)
N wins: 61313, R wins: 34684, Draws: 4003, [61.31:34.68:4.00] (100K-epoch: 12, 8.65s)
Time Training: 95.33s, Trained: 95k, (X:47645,O:48352), Self Play: 0 (Draws: NaN%)
N wins: 61124, R wins: 34942, Draws: 3934, [61.12:34.94:3.93] (100K-epoch: 13, 8.65s)
Time Training: 103.98s, Trained: 96k, (X:47987,O:48079), Self Play: 0 (Draws: NaN%)
N wins: 61035, R wins: 34972, Draws: 3993, [61.03:34.97:3.99] (100K-epoch: 14, 8.64s)
Time Training: 112.62s, Trained: 96k, (X:48029,O:47978), Self Play: 0 (Draws: NaN%)
N wins: 60791, R wins: 35260, Draws: 3949, [60.79:35.26:3.95] (100K-epoch: 15, 8.66s)
Time Training: 121.28s, Trained: 96k, (X:47775,O:48276), Self Play: 0 (Draws: NaN%)
N wins: 61006, R wins: 35066, Draws: 3928, [61.01:35.07:3.93] (100K-epoch: 16, 8.65s)
Time Training: 129.92s, Trained: 96k, (X:47732,O:48340), Self Play: 0 (Draws: NaN%)
N wins: 61197, R wins: 34798, Draws: 4005, [61.20:34.80:4.00] (100K-epoch: 17, 8.64s)
Time Training: 138.56s, Trained: 95k, (X:47959,O:48036), Self Play: 0 (Draws: NaN%)
N wins: 61325, R wins: 34696, Draws: 3979, [61.33:34.70:3.98] (100K-epoch: 18, 8.64s)
Time Training: 147.20s, Trained: 96k, (X:47882,O:48139), Self Play: 0 (Draws: NaN%)
N wins: 61057, R wins: 34931, Draws: 4012, [61.06:34.93:4.01] (100K-epoch: 19, 8.66s)
Time Training: 155.86s, Trained: 95k, (X:48123,O:47865), Self Play: 0 (Draws: NaN%)
N wins: 61320, R wins: 34704, Draws: 3976, [61.32:34.70:3.98] (100K-epoch: 20, 8.65s)
Time Training: 164.51s, Trained: 96k, (X:47818,O:48206), Self Play: 0 (Draws: NaN%)
N wins: 60968, R wins: 35074, Draws: 3958, [60.97:35.07:3.96] (100K-epoch: 21, 8.69s)
Time Training: 173.20s, Trained: 96k, (X:47844,O:48198), Self Play: 0 (Draws: NaN%)
N wins: 60953, R wins: 34973, Draws: 4074, [60.95:34.97:4.07] (100K-epoch: 22, 8.72s)
Time Training: 181.92s, Trained: 95k, (X:48044,O:47882), Self Play: 0 (Draws: NaN%)
N wins: 60911, R wins: 35075, Draws: 4014, [60.91:35.08:4.01] (100K-epoch: 23, 8.76s)
Time Training: 190.68s, Trained: 95k, (X:47610,O:48376), Self Play: 0 (Draws: NaN%)
N wins: 60800, R wins: 35121, Draws: 4079, [60.80:35.12:4.08] (100K-epoch: 24, 8.83s)
Time Training: 199.50s, Trained: 95k, (X:47695,O:48226), Self Play: 0 (Draws: NaN%)
N wins: 61054, R wins: 35013, Draws: 3933, [61.05:35.01:3.93] (100K-epoch: 25, 8.65s)
Time Training: 208.15s, Trained: 96k, (X:47930,O:48137), Self Play: 0 (Draws: NaN%)
N wins: 60859, R wins: 35094, Draws: 4047, [60.86:35.09:4.05] (100K-epoch: 26, 8.64s)
Time Training: 216.79s, Trained: 95k, (X:48042,O:47911), Self Play: 0 (Draws: NaN%)
N wins: 61094, R wins: 34890, Draws: 4016, [61.09:34.89:4.02] (100K-epoch: 27, 8.62s)
Time Training: 225.42s, Trained: 95k, (X:48000,O:47984), Self Play: 0 (Draws: NaN%)
N wins: 61237, R wins: 34797, Draws: 3966, [61.24:34.80:3.97] (100K-epoch: 28, 8.64s)
Time Training: 234.05s, Trained: 96k, (X:47929,O:48105), Self Play: 0 (Draws: NaN%)
N wins: 61096, R wins: 34981, Draws: 3923, [61.10:34.98:3.92] (100K-epoch: 29, 8.66s)
Time Training: 242.71s, Trained: 96k, (X:47785,O:48292), Self Play: 0 (Draws: NaN%)
N wins: 61160, R wins: 34824, Draws: 4016, [61.16:34.82:4.02] (100K-epoch: 30, 8.65s)
Time Training: 251.36s, Trained: 95k, (X:47921,O:48063), Self Play: 0 (Draws: NaN%)
N wins: 60841, R wins: 35211, Draws: 3948, [60.84:35.21:3.95] (100K-epoch: 31, 8.64s)
Time Training: 260.00s, Trained: 96k, (X:47643,O:48409), Self Play: 0 (Draws: NaN%)
N wins: 60765, R wins: 35117, Draws: 4118, [60.77:35.12:4.12] (100K-epoch: 32, 8.64s)
Time Training: 268.64s, Trained: 95k, (X:47871,O:48011), Self Play: 0 (Draws: NaN%)
N wins: 61112, R wins: 34952, Draws: 3936, [61.11:34.95:3.94] (100K-epoch: 33, 8.66s)
Time Training: 277.30s, Trained: 96k, (X:47932,O:48132), Self Play: 0 (Draws: NaN%)
N wins: 61069, R wins: 34851, Draws: 4080, [61.07:34.85:4.08] (100K-epoch: 34, 8.64s)
Time Training: 285.94s, Trained: 95k, (X:47941,O:47979), Self Play: 0 (Draws: NaN%)
N wins: 61028, R wins: 35059, Draws: 3913, [61.03:35.06:3.91] (100K-epoch: 35, 8.65s)
Time Training: 294.60s, Trained: 96k, (X:47951,O:48136), Self Play: 0 (Draws: NaN%)
N wins: 60799, R wins: 35114, Draws: 4087, [60.80:35.11:4.09] (100K-epoch: 36, 8.64s)
Time Training: 303.24s, Trained: 95k, (X:47706,O:48207), Self Play: 0 (Draws: NaN%)
N wins: 61031, R wins: 35038, Draws: 3931, [61.03:35.04:3.93] (100K-epoch: 37, 8.64s)
Time Training: 311.88s, Trained: 96k, (X:47912,O:48157), Self Play: 0 (Draws: NaN%)
N wins: 61129, R wins: 35040, Draws: 3831, [61.13:35.04:3.83] (100K-epoch: 38, 8.66s)
Time Training: 320.53s, Trained: 96k, (X:48123,O:48046), Self Play: 0 (Draws: NaN%)
N wins: 61138, R wins: 34852, Draws: 4010, [61.14:34.85:4.01] (100K-epoch: 39, 8.64s)
Time Training: 329.17s, Trained: 95k, (X:48166,O:47824), Self Play: 0 (Draws: NaN%)
N wins: 60951, R wins: 34965, Draws: 4084, [60.95:34.97:4.08] (100K-epoch: 40, 8.65s)
Time Training: 337.82s, Trained: 95k, (X:47651,O:48265), Self Play: 0 (Draws: NaN%)
N wins: 61295, R wins: 34869, Draws: 3836, [61.30:34.87:3.84] (100K-epoch: 41, 8.66s)
