First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 741.90µs)
Time Training: 800.90µs, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 34484, R wins: 12471, Draws: 3226, [68.72:24.85:6.43] (100K-epoch: 2, 9.11s)
Time Training: 9.11s, Trained: 46k, (X:23736,O:23219), Self Play: 49819 (Draws: 57.02%)
N wins: 34364, R wins: 12213, Draws: 3306, [68.89:24.48:6.63] (100K-epoch: 3, 9.53s)
Time Training: 18.64s, Trained: 46k, (X:23466,O:23111), Self Play: 50117 (Draws: 58.88%)
N wins: 34138, R wins: 12347, Draws: 3278, [68.60:24.81:6.59] (100K-epoch: 4, 10.09s)
Time Training: 28.74s, Trained: 46k, (X:23479,O:23006), Self Play: 50237 (Draws: 57.49%)
N wins: 34524, R wins: 12284, Draws: 3276, [68.93:24.53:6.54] (100K-epoch: 5, 9.70s)
Time Training: 38.44s, Trained: 46k, (X:23389,O:23419), Self Play: 49916 (Draws: 57.83%)
N wins: 34566, R wins: 12094, Draws: 3314, [69.17:24.20:6.63] (100K-epoch: 6, 9.60s)
Time Training: 48.04s, Trained: 46k, (X:23597,O:23063), Self Play: 50026 (Draws: 56.75%)
N wins: 34503, R wins: 12347, Draws: 3264, [68.85:24.64:6.51] (100K-epoch: 7, 10.03s)
Time Training: 58.08s, Trained: 46k, (X:23729,O:23121), Self Play: 49886 (Draws: 57.39%)
N wins: 34488, R wins: 12260, Draws: 3196, [69.05:24.55:6.40] (100K-epoch: 8, 9.75s)
Time Training: 67.84s, Trained: 46k, (X:23705,O:23043), Self Play: 50056 (Draws: 57.21%)
N wins: 34287, R wins: 12448, Draws: 3256, [68.59:24.90:6.51] (100K-epoch: 9, 9.14s)
Time Training: 76.98s, Trained: 46k, (X:23532,O:23203), Self Play: 50009 (Draws: 57.49%)
N wins: 34298, R wins: 12383, Draws: 3195, [68.77:24.83:6.41] (100K-epoch: 10, 9.88s)
Time Training: 86.86s, Trained: 46k, (X:23453,O:23228), Self Play: 50124 (Draws: 57.01%)
N wins: 34402, R wins: 12274, Draws: 3197, [68.98:24.61:6.41] (100K-epoch: 11, 11.46s)
Time Training: 98.32s, Trained: 46k, (X:23346,O:23330), Self Play: 50127 (Draws: 56.93%)
N wins: 34254, R wins: 12364, Draws: 3381, [68.51:24.73:6.76] (100K-epoch: 12, 10.13s)
Time Training: 108.44s, Trained: 46k, (X:23490,O:23128), Self Play: 50001 (Draws: 56.46%)
N wins: 34367, R wins: 12306, Draws: 3325, [68.74:24.61:6.65] (100K-epoch: 13, 10.23s)
Time Training: 118.67s, Trained: 46k, (X:23499,O:23174), Self Play: 50002 (Draws: 57.56%)
N wins: 34270, R wins: 12293, Draws: 3323, [68.70:24.64:6.66] (100K-epoch: 14, 9.75s)
Time Training: 128.42s, Trained: 46k, (X:23496,O:23067), Self Play: 50114 (Draws: 57.52%)
N wins: 34512, R wins: 12229, Draws: 3125, [69.21:24.52:6.27] (100K-epoch: 15, 9.48s)
Time Training: 137.90s, Trained: 46k, (X:23417,O:23324), Self Play: 50134 (Draws: 57.72%)
N wins: 34505, R wins: 12093, Draws: 3271, [69.19:24.25:6.56] (100K-epoch: 16, 9.51s)
Time Training: 147.42s, Trained: 46k, (X:23361,O:23237), Self Play: 50131 (Draws: 57.25%)
N wins: 34271, R wins: 12464, Draws: 3299, [68.50:24.91:6.59] (100K-epoch: 17, 9.63s)
Time Training: 157.05s, Trained: 46k, (X:23581,O:23154), Self Play: 49966 (Draws: 56.76%)
N wins: 34119, R wins: 12641, Draws: 3218, [68.27:25.29:6.44] (100K-epoch: 18, 9.49s)
Time Training: 166.54s, Trained: 46k, (X:23572,O:23188), Self Play: 50022 (Draws: 56.86%)
N wins: 34338, R wins: 12357, Draws: 3325, [68.65:24.70:6.65] (100K-epoch: 19, 9.46s)
Time Training: 176.01s, Trained: 46k, (X:23575,O:23120), Self Play: 49980 (Draws: 57.71%)
N wins: 34503, R wins: 12286, Draws: 3293, [68.89:24.53:6.58] (100K-epoch: 20, 9.77s)
Time Training: 185.78s, Trained: 46k, (X:23492,O:23297), Self Play: 49918 (Draws: 57.20%)
N wins: 34662, R wins: 12209, Draws: 3219, [69.20:24.37:6.43] (100K-epoch: 21, 9.81s)
Time Training: 195.59s, Trained: 46k, (X:23793,O:23078), Self Play: 49910 (Draws: 57.41%)
N wins: 34077, R wins: 12465, Draws: 3272, [68.41:25.02:6.57] (100K-epoch: 22, 9.60s)
Time Training: 205.19s, Trained: 46k, (X:23300,O:23242), Self Play: 50186 (Draws: 55.27%)
N wins: 34038, R wins: 12364, Draws: 3272, [68.52:24.89:6.59] (100K-epoch: 23, 816.41s)
Time Training: 1021.61s, Trained: 46k, (X:23334,O:23068), Self Play: 50326 (Draws: 57.18%)
N wins: 34621, R wins: 12355, Draws: 3232, [68.96:24.61:6.44] (100K-epoch: 24, 9.41s)
Time Training: 1031.02s, Trained: 46k, (X:23691,O:23285), Self Play: 49792 (Draws: 56.71%)
N wins: 34304, R wins: 12383, Draws: 3310, [68.61:24.77:6.62] (100K-epoch: 25, 9.62s)
Time Training: 1040.64s, Trained: 46k, (X:23635,O:23052), Self Play: 50003 (Draws: 57.02%)
N wins: 34588, R wins: 12353, Draws: 3186, [69.00:24.64:6.36] (100K-epoch: 26, 10.87s)
Time Training: 1051.52s, Trained: 46k, (X:23643,O:23298), Self Play: 49873 (Draws: 57.14%)
N wins: 34336, R wins: 12386, Draws: 3247, [68.71:24.79:6.50] (100K-epoch: 27, 10.01s)
Time Training: 1061.53s, Trained: 46k, (X:23445,O:23277), Self Play: 50031 (Draws: 56.15%)
N wins: 34578, R wins: 12371, Draws: 3261, [68.87:24.64:6.49] (100K-epoch: 28, 10.71s)
Time Training: 1072.24s, Trained: 46k, (X:23724,O:23225), Self Play: 49790 (Draws: 55.87%)
N wins: 34367, R wins: 12329, Draws: 3261, [68.79:24.68:6.53] (100K-epoch: 29, 10.06s)
Time Training: 1082.30s, Trained: 46k, (X:23399,O:23297), Self Play: 50043 (Draws: 57.92%)
N wins: 34554, R wins: 12026, Draws: 3251, [69.34:24.13:6.52] (100K-epoch: 30, 10.88s)
Time Training: 1093.18s, Trained: 46k, (X:23602,O:22978), Self Play: 50169 (Draws: 57.40%)
N wins: 34419, R wins: 12293, Draws: 3221, [68.93:24.62:6.45] (100K-epoch: 31, 10.48s)
Time Training: 1103.67s, Trained: 46k, (X:23608,O:23104), Self Play: 50067 (Draws: 56.27%)
N wins: 34603, R wins: 12336, Draws: 3210, [69.00:24.60:6.40] (100K-epoch: 32, 9.85s)
Time Training: 1113.52s, Trained: 46k, (X:23620,O:23319), Self Play: 49851 (Draws: 57.46%)
N wins: 34410, R wins: 12369, Draws: 3274, [68.75:24.71:6.54] (100K-epoch: 33, 9.99s)
Time Training: 1123.51s, Trained: 46k, (X:23588,O:23191), Self Play: 49947 (Draws: 55.97%)
N wins: 34496, R wins: 12167, Draws: 3203, [69.18:24.40:6.42] (100K-epoch: 34, 9.93s)
Time Training: 1133.44s, Trained: 46k, (X:23628,O:23035), Self Play: 50134 (Draws: 57.08%)
N wins: 34458, R wins: 12376, Draws: 3296, [68.74:24.69:6.57] (100K-epoch: 35, 10.78s)
Time Training: 1144.22s, Trained: 46k, (X:23583,O:23251), Self Play: 49870 (Draws: 56.64%)
N wins: 34338, R wins: 12471, Draws: 3248, [68.60:24.91:6.49] (100K-epoch: 36, 11.43s)
Time Training: 1155.66s, Trained: 46k, (X:23589,O:23220), Self Play: 49943 (Draws: 56.58%)
N wins: 34349, R wins: 12127, Draws: 3229, [69.11:24.40:6.50] (100K-epoch: 37, 10.17s)
Time Training: 1165.83s, Trained: 46k, (X:23458,O:23018), Self Play: 50295 (Draws: 57.99%)
N wins: 34319, R wins: 12303, Draws: 3233, [68.84:24.68:6.48] (100K-epoch: 38, 10.64s)
Time Training: 1176.47s, Trained: 46k, (X:23453,O:23169), Self Play: 50145 (Draws: 56.76%)
N wins: 34487, R wins: 12257, Draws: 3341, [68.86:24.47:6.67] (100K-epoch: 39, 10.62s)
Time Training: 1187.09s, Trained: 46k, (X:23622,O:23122), Self Play: 49915 (Draws: 55.31%)
N wins: 34531, R wins: 12224, Draws: 3177, [69.16:24.48:6.36] (100K-epoch: 40, 10.59s)
Time Training: 1197.68s, Trained: 46k, (X:23426,O:23329), Self Play: 50068 (Draws: 57.12%)
N wins: 34101, R wins: 12571, Draws: 3245, [68.32:25.18:6.50] (100K-epoch: 41, 9.78s)
Time Training: 1207.46s, Trained: 46k, (X:23439,O:23233), Self Play: 50083 (Draws: 56.73%)
N wins: 34605, R wins: 12299, Draws: 3208, [69.06:24.54:6.40] (100K-epoch: 42, 9.99s)
Time Training: 1217.45s, Trained: 46k, (X:23512,O:23392), Self Play: 49888 (Draws: 57.74%)
N wins: 34273, R wins: 12477, Draws: 3222, [68.58:24.97:6.45] (100K-epoch: 43, 12.17s)
Time Training: 1229.62s, Trained: 46k, (X:23582,O:23168), Self Play: 50028 (Draws: 56.03%)
N wins: 34133, R wins: 12450, Draws: 3219, [68.54:25.00:6.46] (100K-epoch: 44, 10.78s)
Time Training: 1240.40s, Trained: 46k, (X:23276,O:23307), Self Play: 50198 (Draws: 55.98%)
N wins: 34310, R wins: 12524, Draws: 3303, [68.43:24.98:6.59] (100K-epoch: 45, 9.66s)
Time Training: 1250.05s, Trained: 46k, (X:23377,O:23457), Self Play: 49863 (Draws: 57.08%)
N wins: 34154, R wins: 12374, Draws: 3252, [68.61:24.86:6.53] (100K-epoch: 46, 10.72s)
Time Training: 1260.78s, Trained: 46k, (X:23489,O:23039), Self Play: 50220 (Draws: 57.95%)
N wins: 34353, R wins: 12153, Draws: 3311, [68.96:24.40:6.65] (100K-epoch: 47, 9.57s)
