First 1 second:
N wins: 0, R wins: 0, Draws: 1, [0.00:0.00:100.00] (100K-epoch: 1, 939.10µs)
Time Training: 1.11ms, Trained: 0k, (X:0,O:0), Self Play: 0 (Draws: NaN%)
N wins: 36144, R wins: 12239, Draws: 1610, [72.30:24.48:3.22] (100K-epoch: 2, 2.57s)
Time Training: 2.57s, Trained: 48k, (X:23863,O:24520), Self Play: 50007 (Draws: 94.35%)
N wins: 36102, R wins: 12115, Draws: 1629, [72.43:24.30:3.27] (100K-epoch: 3, 2.53s)
Time Training: 5.10s, Trained: 48k, (X:23803,O:24414), Self Play: 50154 (Draws: 94.62%)
N wins: 35794, R wins: 12485, Draws: 1727, [71.58:24.97:3.45] (100K-epoch: 4, 2.53s)
Time Training: 7.64s, Trained: 48k, (X:23787,O:24492), Self Play: 49994 (Draws: 94.97%)
N wins: 35858, R wins: 12255, Draws: 1670, [72.03:24.62:3.35] (100K-epoch: 5, 2.54s)
Time Training: 10.18s, Trained: 48k, (X:23863,O:24250), Self Play: 50217 (Draws: 94.83%)
N wins: 36065, R wins: 12278, Draws: 1665, [72.12:24.55:3.33] (100K-epoch: 6, 2.55s)
Time Training: 12.73s, Trained: 48k, (X:24089,O:24254), Self Play: 49992 (Draws: 94.74%)
N wins: 35615, R wins: 12482, Draws: 1722, [71.49:25.05:3.46] (100K-epoch: 7, 2.54s)
Time Training: 15.27s, Trained: 48k, (X:23718,O:24379), Self Play: 50181 (Draws: 94.98%)
N wins: 35985, R wins: 12362, Draws: 1611, [72.03:24.74:3.22] (100K-epoch: 8, 2.54s)
Time Training: 17.80s, Trained: 48k, (X:23805,O:24542), Self Play: 50042 (Draws: 95.01%)
N wins: 35953, R wins: 12309, Draws: 1720, [71.93:24.63:3.44] (100K-epoch: 9, 2.53s)
Time Training: 20.33s, Trained: 48k, (X:24015,O:24247), Self Play: 50018 (Draws: 94.82%)
N wins: 36237, R wins: 12376, Draws: 1694, [72.03:24.60:3.37] (100K-epoch: 10, 2.53s)
Time Training: 22.87s, Trained: 48k, (X:24071,O:24542), Self Play: 49693 (Draws: 94.82%)
N wins: 36187, R wins: 12368, Draws: 1713, [71.99:24.60:3.41] (100K-epoch: 11, 2.53s)
Time Training: 25.40s, Trained: 48k, (X:24246,O:24309), Self Play: 49732 (Draws: 94.85%)
N wins: 35757, R wins: 12604, Draws: 1708, [71.42:25.17:3.41] (100K-epoch: 12, 2.53s)
Time Training: 27.93s, Trained: 48k, (X:23876,O:24485), Self Play: 49931 (Draws: 94.84%)
N wins: 35892, R wins: 12281, Draws: 1649, [72.04:24.65:3.31] (100K-epoch: 13, 2.53s)
Time Training: 30.46s, Trained: 48k, (X:23880,O:24293), Self Play: 50178 (Draws: 94.84%)
N wins: 36060, R wins: 12438, Draws: 1701, [71.83:24.78:3.39] (100K-epoch: 14, 2.53s)
Time Training: 32.99s, Trained: 48k, (X:23810,O:24688), Self Play: 49801 (Draws: 94.80%)
N wins: 36379, R wins: 12180, Draws: 1721, [72.35:24.22:3.42] (100K-epoch: 15, 2.54s)
Time Training: 35.53s, Trained: 48k, (X:24024,O:24535), Self Play: 49720 (Draws: 94.66%)
N wins: 36015, R wins: 12480, Draws: 1700, [71.75:24.86:3.39] (100K-epoch: 16, 2.53s)
Time Training: 38.06s, Trained: 48k, (X:23974,O:24521), Self Play: 49805 (Draws: 94.84%)
N wins: 35919, R wins: 12298, Draws: 1662, [72.01:24.66:3.33] (100K-epoch: 17, 2.53s)
Time Training: 40.59s, Trained: 48k, (X:23762,O:24455), Self Play: 50121 (Draws: 94.95%)
N wins: 35945, R wins: 12280, Draws: 1663, [72.05:24.62:3.33] (100K-epoch: 18, 2.53s)
Time Training: 43.12s, Trained: 48k, (X:23913,O:24312), Self Play: 50112 (Draws: 94.99%)
N wins: 36075, R wins: 12403, Draws: 1643, [71.98:24.75:3.28] (100K-epoch: 19, 2.57s)
Time Training: 45.69s, Trained: 48k, (X:23956,O:24522), Self Play: 49879 (Draws: 95.00%)
N wins: 36020, R wins: 12531, Draws: 1738, [71.63:24.92:3.46] (100K-epoch: 20, 2.57s)
Time Training: 48.26s, Trained: 48k, (X:24123,O:24428), Self Play: 49711 (Draws: 94.80%)
N wins: 35772, R wins: 12348, Draws: 1653, [71.87:24.81:3.32] (100K-epoch: 21, 2.53s)
Time Training: 50.79s, Trained: 48k, (X:23828,O:24292), Self Play: 50227 (Draws: 94.95%)
N wins: 36354, R wins: 12435, Draws: 1690, [72.02:24.63:3.35] (100K-epoch: 22, 2.55s)
Time Training: 53.34s, Trained: 48k, (X:24252,O:24537), Self Play: 49521 (Draws: 94.62%)
N wins: 35944, R wins: 12539, Draws: 1642, [71.71:25.02:3.28] (100K-epoch: 23, 2.81s)
Time Training: 56.15s, Trained: 48k, (X:24000,O:24483), Self Play: 49875 (Draws: 94.91%)
N wins: 35909, R wins: 12361, Draws: 1751, [71.79:24.71:3.50] (100K-epoch: 24, 3.21s)
Time Training: 59.37s, Trained: 48k, (X:23820,O:24450), Self Play: 49979 (Draws: 94.92%)
N wins: 35866, R wins: 12200, Draws: 1704, [72.06:24.51:3.42] (100K-epoch: 25, 2.90s)
Time Training: 62.26s, Trained: 48k, (X:23799,O:24267), Self Play: 50230 (Draws: 94.87%)
N wins: 35714, R wins: 12304, Draws: 1720, [71.80:24.74:3.46] (100K-epoch: 26, 2.73s)
Time Training: 64.99s, Trained: 48k, (X:23830,O:24188), Self Play: 50262 (Draws: 94.82%)
N wins: 36125, R wins: 12316, Draws: 1695, [72.05:24.57:3.38] (100K-epoch: 27, 2.71s)
Time Training: 67.70s, Trained: 48k, (X:23977,O:24464), Self Play: 49864 (Draws: 94.75%)
