First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 995.30µs)
Time Training: 1.27ms, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 31970, R wins: 15172, Draws: 2785, [64.03:30.39:5.58] (100K-epoch: 2, 15.18s)
Time Training: 15.19s, Trained: 47k, (X:23238,O:23904), Self Play: 50073 (Draws: 65.07%)
N wins: 32143, R wins: 14837, Draws: 3179, [64.08:29.58:6.34] (100K-epoch: 3, 17.59s)
Time Training: 32.77s, Trained: 46k, (X:23302,O:23678), Self Play: 49841 (Draws: 30.76%)
N wins: 33105, R wins: 13701, Draws: 2996, [66.47:27.51:6.02] (100K-epoch: 4, 15.74s)
Time Training: 48.51s, Trained: 46k, (X:23443,O:23363), Self Play: 50198 (Draws: 26.94%)
N wins: 32773, R wins: 14385, Draws: 2843, [65.54:28.77:5.69] (100K-epoch: 5, 15.43s)
Time Training: 63.94s, Trained: 47k, (X:23517,O:23641), Self Play: 49999 (Draws: 43.08%)
N wins: 33112, R wins: 14292, Draws: 2456, [66.41:28.66:4.93] (100K-epoch: 6, 15.73s)
Time Training: 79.67s, Trained: 47k, (X:23672,O:23732), Self Play: 50140 (Draws: 31.77%)
N wins: 32885, R wins: 15012, Draws: 2461, [65.30:29.81:4.89] (100K-epoch: 7, 14.95s)
Time Training: 94.62s, Trained: 47k, (X:23870,O:24027), Self Play: 49642 (Draws: 41.02%)
N wins: 33115, R wins: 14791, Draws: 2426, [65.79:29.39:4.82] (100K-epoch: 8, 14.05s)
Time Training: 108.67s, Trained: 47k, (X:23857,O:24049), Self Play: 49668 (Draws: 61.98%)
N wins: 33166, R wins: 14104, Draws: 2769, [66.28:28.19:5.53] (100K-epoch: 9, 14.95s)
Time Training: 123.62s, Trained: 47k, (X:23729,O:23541), Self Play: 49961 (Draws: 32.21%)
N wins: 32883, R wins: 14271, Draws: 2835, [65.78:28.55:5.67] (100K-epoch: 10, 15.09s)
