First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 1.21ms)
Time Training: 1.47ms, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 34296, R wins: 12702, Draws: 3170, [68.36:25.32:6.32] (100K-epoch: 2, 6.30s)
Time Training: 6.30s, Trained: 46k, (X:23757,O:23241), Self Play: 49832 (Draws: 42.41%)
N wins: 33972, R wins: 12796, Draws: 3174, [68.02:25.62:6.36] (100K-epoch: 3, 6.31s)
Time Training: 12.61s, Trained: 46k, (X:23321,O:23447), Self Play: 50058 (Draws: 41.07%)
N wins: 34031, R wins: 12735, Draws: 3178, [68.14:25.50:6.36] (100K-epoch: 4, 6.25s)
Time Training: 18.87s, Trained: 46k, (X:23562,O:23204), Self Play: 50056 (Draws: 41.74%)
N wins: 34483, R wins: 12591, Draws: 3212, [68.57:25.04:6.39] (100K-epoch: 5, 6.40s)
Time Training: 25.27s, Trained: 47k, (X:23868,O:23206), Self Play: 49714 (Draws: 43.38%)
N wins: 34314, R wins: 12506, Draws: 3226, [68.56:24.99:6.45] (100K-epoch: 6, 6.31s)
Time Training: 31.59s, Trained: 46k, (X:23550,O:23270), Self Play: 49954 (Draws: 45.21%)
N wins: 34135, R wins: 12657, Draws: 3149, [68.35:25.34:6.31] (100K-epoch: 7, 6.19s)
Time Training: 37.79s, Trained: 46k, (X:23441,O:23351), Self Play: 50059 (Draws: 42.36%)
N wins: 34260, R wins: 12504, Draws: 3273, [68.47:24.99:6.54] (100K-epoch: 8, 6.29s)
Time Training: 44.09s, Trained: 46k, (X:23523,O:23241), Self Play: 49963 (Draws: 44.16%)
N wins: 34082, R wins: 12699, Draws: 3145, [68.27:25.44:6.30] (100K-epoch: 9, 6.15s)
Time Training: 50.25s, Trained: 46k, (X:23563,O:23218), Self Play: 50074 (Draws: 43.34%)
N wins: 33940, R wins: 12752, Draws: 3246, [67.96:25.54:6.50] (100K-epoch: 10, 6.22s)
Time Training: 56.48s, Trained: 46k, (X:23527,O:23165), Self Play: 50062 (Draws: 43.67%)
N wins: 33877, R wins: 12716, Draws: 3255, [67.96:25.51:6.53] (100K-epoch: 11, 6.26s)
Time Training: 62.75s, Trained: 46k, (X:23426,O:23167), Self Play: 50152 (Draws: 42.76%)
N wins: 34000, R wins: 12926, Draws: 3195, [67.84:25.79:6.37] (100K-epoch: 12, 6.43s)
Time Training: 69.18s, Trained: 46k, (X:23596,O:23330), Self Play: 49879 (Draws: 41.41%)
N wins: 34151, R wins: 12571, Draws: 3180, [68.44:25.19:6.37] (100K-epoch: 13, 6.17s)
Time Training: 75.36s, Trained: 46k, (X:23482,O:23240), Self Play: 50098 (Draws: 44.56%)
N wins: 34003, R wins: 12592, Draws: 3223, [68.25:25.28:6.47] (100K-epoch: 14, 6.07s)
Time Training: 81.44s, Trained: 46k, (X:23442,O:23153), Self Play: 50182 (Draws: 46.39%)
N wins: 34273, R wins: 12618, Draws: 3184, [68.44:25.20:6.36] (100K-epoch: 15, 6.22s)
Time Training: 87.66s, Trained: 46k, (X:23862,O:23029), Self Play: 49925 (Draws: 43.88%)
N wins: 34071, R wins: 12785, Draws: 3217, [68.04:25.53:6.42] (100K-epoch: 16, 6.30s)
Time Training: 93.97s, Trained: 46k, (X:23595,O:23261), Self Play: 49927 (Draws: 40.81%)
N wins: 34122, R wins: 12566, Draws: 3219, [68.37:25.18:6.45] (100K-epoch: 17, 6.18s)
Time Training: 100.16s, Trained: 46k, (X:23481,O:23207), Self Play: 50093 (Draws: 42.87%)
N wins: 34377, R wins: 12738, Draws: 3013, [68.58:25.41:6.01] (100K-epoch: 18, 6.34s)
Time Training: 106.51s, Trained: 47k, (X:23693,O:23422), Self Play: 49872 (Draws: 41.29%)
N wins: 34237, R wins: 12716, Draws: 3253, [68.19:25.33:6.48] (100K-epoch: 19, 6.21s)
Time Training: 112.73s, Trained: 46k, (X:23486,O:23467), Self Play: 49794 (Draws: 41.10%)
N wins: 34101, R wins: 12659, Draws: 3164, [68.31:25.36:6.34] (100K-epoch: 20, 6.16s)
Time Training: 118.89s, Trained: 46k, (X:23523,O:23237), Self Play: 50076 (Draws: 44.89%)
N wins: 34266, R wins: 12596, Draws: 3203, [68.44:25.16:6.40] (100K-epoch: 21, 6.18s)
Time Training: 125.07s, Trained: 46k, (X:23441,O:23421), Self Play: 49935 (Draws: 41.99%)
N wins: 34012, R wins: 12705, Draws: 3187, [68.15:25.46:6.39] (100K-epoch: 22, 6.14s)
Time Training: 131.22s, Trained: 46k, (X:23471,O:23246), Self Play: 50096 (Draws: 45.20%)
N wins: 33974, R wins: 12854, Draws: 3233, [67.87:25.68:6.46] (100K-epoch: 23, 6.33s)
Time Training: 137.55s, Trained: 46k, (X:23675,O:23153), Self Play: 49939 (Draws: 41.43%)
N wins: 33958, R wins: 12860, Draws: 3273, [67.79:25.67:6.53] (100K-epoch: 24, 6.18s)
Time Training: 143.75s, Trained: 46k, (X:23575,O:23243), Self Play: 49909 (Draws: 41.92%)
N wins: 34055, R wins: 12640, Draws: 3236, [68.20:25.31:6.48] (100K-epoch: 25, 6.24s)
Time Training: 149.99s, Trained: 46k, (X:23622,O:23073), Self Play: 50069 (Draws: 42.88%)
N wins: 34143, R wins: 12670, Draws: 3213, [68.25:25.33:6.42] (100K-epoch: 26, 6.13s)
Time Training: 156.13s, Trained: 46k, (X:23641,O:23172), Self Play: 49974 (Draws: 43.89%)
N wins: 34151, R wins: 12614, Draws: 3230, [68.31:25.23:6.46] (100K-epoch: 27, 6.15s)
Time Training: 162.28s, Trained: 46k, (X:23340,O:23425), Self Play: 50005 (Draws: 46.10%)
N wins: 34231, R wins: 12757, Draws: 3284, [68.09:25.38:6.53] (100K-epoch: 28, 6.21s)
Time Training: 168.50s, Trained: 46k, (X:23499,O:23489), Self Play: 49728 (Draws: 43.77%)
N wins: 33873, R wins: 12795, Draws: 3101, [68.06:25.71:6.23] (100K-epoch: 29, 6.21s)
Time Training: 174.72s, Trained: 46k, (X:23555,O:23113), Self Play: 50231 (Draws: 41.51%)
N wins: 34102, R wins: 12628, Draws: 3129, [68.40:25.33:6.28] (100K-epoch: 30, 6.25s)
Time Training: 180.97s, Trained: 46k, (X:23433,O:23297), Self Play: 50141 (Draws: 42.67%)
N wins: 33965, R wins: 12704, Draws: 3222, [68.08:25.46:6.46] (100K-epoch: 31, 6.16s)
Time Training: 187.14s, Trained: 46k, (X:23455,O:23214), Self Play: 50109 (Draws: 43.61%)
N wins: 34490, R wins: 12702, Draws: 3049, [68.65:25.28:6.07] (100K-epoch: 32, 6.25s)
Time Training: 193.39s, Trained: 47k, (X:23762,O:23430), Self Play: 49759 (Draws: 43.38%)
N wins: 33981, R wins: 12662, Draws: 3291, [68.05:25.36:6.59] (100K-epoch: 33, 6.30s)
Time Training: 199.71s, Trained: 46k, (X:23497,O:23146), Self Play: 50066 (Draws: 41.80%)
N wins: 34071, R wins: 12969, Draws: 3181, [67.84:25.82:6.33] (100K-epoch: 34, 6.17s)
Time Training: 205.88s, Trained: 47k, (X:23615,O:23425), Self Play: 49779 (Draws: 42.22%)
N wins: 33980, R wins: 12609, Draws: 3201, [68.25:25.32:6.43] (100K-epoch: 35, 6.26s)
Time Training: 212.14s, Trained: 46k, (X:23606,O:22983), Self Play: 50210 (Draws: 43.17%)
N wins: 33775, R wins: 12798, Draws: 3254, [67.78:25.68:6.53] (100K-epoch: 36, 6.30s)
Time Training: 218.45s, Trained: 46k, (X:23333,O:23240), Self Play: 50173 (Draws: 43.92%)
N wins: 33821, R wins: 12816, Draws: 3186, [67.88:25.72:6.39] (100K-epoch: 37, 6.27s)
Time Training: 224.73s, Trained: 46k, (X:23356,O:23281), Self Play: 50177 (Draws: 41.53%)
N wins: 33857, R wins: 12828, Draws: 3331, [67.69:25.65:6.66] (100K-epoch: 38, 6.28s)
Time Training: 231.01s, Trained: 46k, (X:23190,O:23495), Self Play: 49984 (Draws: 42.68%)
N wins: 34018, R wins: 12816, Draws: 3171, [68.03:25.63:6.34] (100K-epoch: 39, 6.27s)
Time Training: 237.29s, Trained: 46k, (X:23606,O:23228), Self Play: 49995 (Draws: 43.24%)
N wins: 34256, R wins: 12855, Draws: 3132, [68.18:25.59:6.23] (100K-epoch: 40, 6.28s)
Time Training: 243.57s, Trained: 47k, (X:23865,O:23246), Self Play: 49757 (Draws: 39.59%)
N wins: 34021, R wins: 12786, Draws: 3206, [68.02:25.57:6.41] (100K-epoch: 41, 6.42s)
Time Training: 249.99s, Trained: 46k, (X:23688,O:23119), Self Play: 49987 (Draws: 43.03%)
